Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24002 Algadefe;;;Media de la renta por unidad de consumo;2021;18.646
24002 Algadefe;;;Media de la renta por unidad de consumo;2020;17.679
24002 Algadefe;;;Media de la renta por unidad de consumo;2019;16.473
24002 Algadefe;;;Media de la renta por unidad de consumo;2018;16.475
24002 Algadefe;;;Media de la renta por unidad de consumo;2017;16.347
24002 Algadefe;;;Media de la renta por unidad de consumo;2016;15.706
24002 Algadefe;;;Media de la renta por unidad de consumo;2015;14.386
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2023;16.450
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2022;15.050
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2021;15.750
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2020;15.050
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2019;15.050
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2018;14.350
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2017;13.650
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2016;12.950
24002 Algadefe;;;Mediana de la renta por unidad de consumo;2015;12.950
24002 Algadefe;;;Renta bruta media por persona;2023;19.293
24002 Algadefe;;;Renta bruta media por persona;2022;16.401
24002 Algadefe;;;Renta bruta media por persona;2021;14.338
24002 Algadefe;;;Renta bruta media por persona;2020;14.031
24002 Algadefe;;;Renta bruta media por persona;2019;12.700
24002 Algadefe;;;Renta bruta media por persona;2018;12.486
24002 Algadefe;;;Renta bruta media por persona;2017;12.453
24002 Algadefe;;;Renta bruta media por persona;2016;11.938
24002 Algadefe;;;Renta bruta media por persona;2015;10.857
24002 Algadefe;;;Renta bruta media por hogar;2023;49.470
24002 Algadefe;;;Renta bruta media por hogar;2022;41.073
24002 Algadefe;;;Renta bruta media por hogar;2021;36.757
24002 Algadefe;;;Renta bruta media por hogar;2020;33.676
24002 Algadefe;;;Renta bruta media por hogar;2019;31.750
24002 Algadefe;;;Renta bruta media por hogar;2018;31.549
24002 Algadefe;;;Renta bruta media por hogar;2017;32.353
24002 Algadefe;;;Renta bruta media por hogar;2016;30.556
24002 Algadefe;;;Renta bruta media por hogar;2015;28.603
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2023;15.359
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2022;13.659
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2021;12.402
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2020;12.218
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2019;11.193
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2018;11.094
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2017;10.915
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2016;10.589
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por persona;2015;9.598
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2023;39.382
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2022;34.206
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2021;31.794
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2020;29.323
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2019;27.981
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2018;28.031
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2017;28.358
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2016;27.105
24002 Algadefe;2400201 Algadefe distrito 01;;Renta neta media por hogar;2015;25.287
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2023;22.875
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2022;20.121
