Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2022;15.658
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2021;14.808
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2020;14.405
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2019;13.383
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2018;12.671
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2017;12.313
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2016;11.346
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2015;11.282
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2023;14.350
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2022;13.650
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2021;12.950
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2020;12.250
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2019;12.250
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2018;10.150
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2017;10.150
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2016;9.450
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Mediana de la renta por unidad de consumo;2015;10.150
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta bruta media por persona;2023;12.753
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta bruta media por persona;2022;12.407
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta bruta media por persona;2021;11.874
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta bruta media por persona;2020;11.359
