CUSEC,dist_min_infantil_y_primaria_km,n_infantil_y_primaria_1km,n_infantil_y_primaria_5km,n_infantil_y_primaria_15km,n_infantil_y_primaria_30km,disp_ponderada_infantil_y_primaria,dist_min_adultos_e_idiomas_km,n_adultos_e_idiomas_1km,n_adultos_e_idiomas_5km,n_adultos_e_idiomas_15km,n_adultos_e_idiomas_30km,disp_ponderada_adultos_e_idiomas,dist_min_secundaria_y_bachillerato_km,n_secundaria_y_bachillerato_1km,n_secundaria_y_bachillerato_5km,n_secundaria_y_bachillerato_15km,n_secundaria_y_bachillerato_30km,disp_ponderada_secundaria_y_bachillerato,dist_min_educación_especial_km,n_educación_especial_1km,n_educación_especial_5km,n_educación_especial_15km,n_educación_especial_30km,disp_ponderada_educación_especial,dist_min_formación_profesional_km,n_formación_profesional_1km,n_formación_profesional_5km,n_formación_profesional_15km,n_formación_profesional_30km,disp_ponderada_formación_profesional
0509501001,7.268024117222337,0,0,7,21,3.5,5.379849780295474,0,0,1,2,0.4,7.268024117222337,0,0,2,5,0.9,46.34726554615125,0,0,0,0,0.0,40.70626471703889,0,0,0,0,0.0
0509601001,5.231507857258303,0,0,4,33,4.1000000000000005,27.26488255718109,0,0,0,2,0.2,27.343349766356432,0,0,0,6,0.6000000000000001,27.97807562101212,0,0,0,1,0.1,22.72968198367811,0,0,0,2,0.2
0509701001,0.0,1,1,7,21,4.2,9.225060827956158,0,0,1,2,0.4,9.225060827956158,0,0,2,5,0.9,59.00293016729739,0,0,0,0,0.0,25.426311138083726,0,0,0,1,0.1
0509901001,6.392614346454267,0,0,7,21,3.5,21.209922772711362,0,0,0,2,0.2,20.443411409458268,0,0,0,3,0.30000000000000004,48.777720177074976,0,0,0,0,0.0,27.80987376273854,0,0,0,1,0.1
0510001001,4.252948708587442,0,1,8,15,3.4000000000000004,5.589557630834418,0,0,1,1,0.3,7.023562706279401,0,0,1,3,0.5,56.825458551967465,0,0,0,0,0.0,7.023562706279401,0,0,1,1,0.3
0510101001,5.629528904845885,0,0,3,22,2.8,21.51531505754063,0,0,0,1,0.1,23.316247084289525,0,0,0,2,0.2,37.01912543477681,0,0,0,0,0.0,23.316247084289525,0,0,0,1,0.1
0510201001,6.530685623117338,0,0,8,20,3.6,14.841397077740849,0,0,1,2,0.4,0.0,1,1,4,8,2.3,31.010649885390286,0,0,0,0,0.0,31.010649885390286,0,0,0,0,0.0
0510201002,0.0,1,1,8,35,5.800000000000001,13.110387286019396,0,0,1,5,0.7,6.530685623117338,0,0,4,13,2.1,24.65542341012051,0,0,0,1,0.1,24.65542341012051,0,0,0,1,0.1
0510301001,5.246333504332776,0,0,3,15,2.1,14.403788269219767,0,0,1,1,0.3,6.133924742502286,0,0,2,3,0.7,57.8628888182546,0,0,0,0,0.0,31.19005146858787,0,0,0,0,0.0
0510401001,5.411239409659147,0,0,2,19,2.3000000000000003,18.97153531003495,0,0,0,2,0.2,15.9890890990541,0,0,0,4,0.4,53.643894514896814,0,0,0,0,0.0,20.540000505609427,0,0,0,1,0.1
0510501001,0.0,1,1,2,17,2.8,13.60153262097988,0,0,1,2,0.4,15.138116713461034,0,0,0,4,0.4,54.66838143116164,0,0,0,0,0.0,15.138116713461034,0,0,0,1,0.1
0510601001,9.824037261816832,0,0,5,21,3.1,18.46580842094723,0,0,0,1,0.1,20.36202413986548,0,0,0,2,0.2,42.95425177297116,0,0,0,0,0.0,20.36202413986548,0,0,0,1,0.1
0510701001,10.088731525091989,0,0,2,12,1.6,24.2665259164802,0,0,0,1,0.1,23.74561920229735,0,0,0,3,0.30000000000000004,36.082855345319665,0,0,0,0,0.0,29.69505391424471,0,0,0,1,0.1
0510801001,6.808778734011246,0,0,5,23,3.3,7.79662015776724,0,0,1,2,0.4,7.79662015776724,0,0,1,5,0.7,59.62381732775014,0,0,0,0,0.0,17.06746834544063,0,0,0,1,0.1
0510901001,7.448533711709176,0,0,6,15,2.6999999999999997,12.988171475423837,0,0,2,2,0.6,12.402678716981432,0,0,3,3,0.8999999999999999,42.575115171876845,0,0,0,0,0.0,32.155211924947395,0,0,0,0,0.0
0511001001,0.0,2,2,6,20,4.6000000000000005,12.903974603016836,0,0,1,1,0.3,12.60662925682314,0,0,1,3,0.5,54.57742569177928,0,0,0,0,0.0,12.60662925682314,0,0,1,1,0.3
0511201001,4.600295901051283,0,2,4,23,3.7,5.050381444499141,0,0,1,2,0.4,5.050381444499141,0,0,1,5,0.7,61.64220398061952,0,0,0,0,0.0,19.46980557954218,0,0,0,1,0.1
0511301001,5.425989257152479,0,0,3,15,2.1,3.7292865527633303,0,1,1,2,0.7,3.7292865527633303,0,1,1,5,1.0,69.26793825781539,0,0,0,0,0.0,25.13435823165313,0,0,0,1,0.1
0511401001,4.061054490917932,0,1,7,29,4.6,21.138360095520113,0,0,0,4,0.4,22.00427995023171,0,0,0,6,0.6000000000000001,56.91212629135733,0,0,0,0,0.0,20.176919471747787,0,0,0,1,0.1
0511402001,0.0,1,1,6,27,4.6,24.891214185751547,0,0,0,4,0.4,18.361021644391368,0,0,0,6,0.6000000000000001,55.129460911752226,0,0,0,0,0.0,24.150958100524033,0,0,0,1,0.1
0511501001,8.943398488999392,0,0,3,34,4.0,21.095876394899985,0,0,0,4,0.4,13.26893318551378,0,0,1,11,1.3,21.937961556641856,0,0,0,1,0.1,21.937961556641856,0,0,0,2,0.2
0511601001,5.373061283851886,0,0,3,14,2.0,22.477523713638966,0,0,0,1,0.1,5.373061283851886,0,0,1,3,0.5,54.23295329913113,0,0,0,0,0.0,37.973514368028255,0,0,0,0,0.0
0511701001,0.0,1,1,3,22,3.5,19.373823829510627,0,0,0,3,0.30000000000000004,10.756807168334891,0,0,1,5,0.7,49.814563541964475,0,0,0,0,0.0,31.47718150508666,0,0,0,0,0.0
0511801001,11.019242587750773,0,0,4,13,2.1,11.019242587750773,0,0,1,1,0.3,13.324551023618485,0,0,2,4,0.8,42.94623021839314,0,0,0,0,0.0,37.067848915037395,0,0,0,0,0.0
