CUSEC,dist_min_BUS_km,disp_ponderada_BUS,dist_min_RAIL_km,disp_ponderada_RAIL,n_lineas_bus,n_lineas_rail,n_lineas_total
2413101001,6.064903216054265,4.8999999999999995,5.209361699911847,1.4,0,0,0
2413201001,23.036021549298432,0.4,23.036021549298432,0.30000000000000004,0,0,0
2413301001,10.004255979625777,11.7,16.32705195806442,1.5,0,0,0
2413401001,19.264149966759128,9.700000000000001,0.0,3.9000000000000004,0,3,3
2413401002,18.71110906036368,9.8,0.7129791678937576,3.6000000000000005,0,0,0
2413401003,18.423637720128408,9.9,1.048127975582213,3.0999999999999996,0,0,0
2413601001,9.480580941414525,3.3000000000000003,24.859109074397587,0.2,0,0,0
2413701001,26.560706113571463,0.30000000000000004,7.6956084215351135,2.2,0,0,0
2413901001,6.993103162237474,1.9,10.368077608525313,0.9,0,0,0
2413901002,0.0,2.5,0.0,2.2,2,8,10
2414101001,9.661477126222533,3.3,36.867237377593504,0.0,0,0,0
2414201001,0.0,44.0,4.700609182749529,3.8,4,0,4
2414201002,1.5422502345773972,50.8,3.96615423314762,5.1000000000000005,0,0,0
2414201003,0.0,31.999999999999996,9.96924796553834,3.5,4,0,4
2414202001,0.5859532188113795,59.4,1.8632492089476507,5.0,0,0,0
2414202002,0.6434049854036294,58.8,2.951080902021709,5.1000000000000005,0,0,0
2414202003,0.4398166427058192,62.6,1.695958789877986,5.3,0,0,0
2414202004,0.5077286208493718,62.199999999999996,1.2133514655798852,5.4,0,0,0
2414202005,0.0,59.1,2.3467294192067194,5.1000000000000005,5,0,5
2414202006,0.507551161520936,62.199999999999996,1.5521375795438415,5.4,0,0,0
2414202007,0.7130656306629981,62.199999999999996,1.5333880677876888,5.4,0,0,0
2414202008,1.0632196900852846,57.5,2.8164068615217115,5.0,0,0,0
2414202009,0.4389871329002518,61.8,1.0630274871370644,5.4,0,0,0
2414202010,1.3284791225126407,48.99999999999999,3.9784334123509595,4.3999999999999995,0,0,0
2414202011,0.31734600997292056,63.3,1.3031095475805512,5.3,0,0,0
2414202012,0.7172613309801616,61.1,1.8949564067424887,5.4,0,0,0
2414202013,0.4666807903494822,59.199999999999996,2.1858322156265193,5.4,0,0,0
2414203001,0.2675358850130799,62.199999999999996,1.6853501952092393,5.3,0,0,0
2414203002,0.40927616012395296,61.49999999999999,1.839600400602182,5.3,0,0,0
2414203003,0.0,59.9,2.161916836548524,5.3,3,0,3
2414301001,8.934893896061364,3.9,12.311588392598669,1.0,0,0,0
2414401001,0.0,7.300000000000001,5.486659568112818,1.7,2,0,2
2414501001,41.018692073961795,0.0,25.59906208066848,0.2,0,0,0
2414601001,16.09280618601288,1.1,26.956548563239135,0.1,0,0,0
2414801001,0.0,5.9,1.1424746037470217,2.6,4,0,4
2414801002,1.1424746037470217,5.3999999999999995,0.0,3.0,0,3,3
2414901001,0.0,6.0,21.233644966243443,0.4,2,0,2
2415001001,0.0,16.6,13.452475355981175,1.8000000000000003,2,0,2
2415101001,16.512168645032613,9.9,7.951218975096694,3.1,0,0,0
2415201001,10.350638718497715,2.0,14.248922046366323,1.1,0,0,0
2415301001,0.0,4.2,10.611439371209563,0.9,4,0,4
2415401001,6.43423990822473,3.4000000000000004,19.20530039651166,0.5,0,0,0
2415501001,3.5652620221179885,6.0,8.73629062987616,1.4,0,0,0
2415601001,17.419678381182994,1.2000000000000002,8.914458592625683,1.0,0,0,0
2415701001,1.69027108641031,7.299999999999999,14.924652144685174,0.9000000000000001,0,0,0
2415701002,0.0,11.5,14.140403132811308,1.0,2,0,2
2415801001,15.462398502843145,10.200000000000001,18.095094065801604,1.7000000000000002,0,0,0
