CUSEC_origen;centro_id;CUSEC_servicio;distancia
0501903002;626;0512801001;7729,711
0501903002;309;0505901001;25003,048
0501903002;1411;0506501001;29725,992
0501903002;136;0510201002;29084,879
0501903002;302;0513501001;29867,552
0501903002;1415;0513801001;20975,927
0501903002;320;0515801001;26361,111
0501903002;1414;0516101001;23884,972
0501903002;127;0516802001;28605,402
0501903002;1140;0520401001;23684,734
0501903002;620;0522001001;18448,367
0501903002;1009;0523801001;25501,931
0501903002;1001;4014601001;29092,369
0501903002;156;4022501001;24128,419
0501904001;621;0507601001;2583,242
0501904001;438;0501901002;10438,516
0501904001;718;0501902002;7097,411
0501904001;119;0501903002;11146,020
0501904001;1517;0501904002;6438,441
0501904001;141;0501904005;6406,162
0501904001;1527;0501904005;6406,162
0501904001;1358;0501904006;6488,038
0501904001;363;0501904009;6048,658
0501904001;263;0501904011;6428,388
0501904001;1256;0501905004;7205,943
0501904001;722;0501906001;7139,438
0501904001;1108;0501906002;7392,194
0501904001;1274;0501906005;7487,286
0501904001;637;0501906008;8102,684
0501904001;1359;0501906008;8102,684
0501904001;1415;0513801001;14415,211
0501904001;702;0501906006;7609,840
0501904001;120;0502201002;25106,438
0501904001;1524;0502201002;25106,438
0501904001;639;0504101001;23903,335
0501904001;312;0504901001;15081,711
0501904001;309;0505901001;24172,490
0501904001;136;0510201002;26547,079
0501904001;626;0512801001;18814,298
0501904001;302;0513501001;24304,896
0501904001;320;0515801001;15408,353
0501904001;1363;0516001001;28313,154
0501904001;1414;0516101001;24634,152
0501904001;674;0516301002;22625,148
0501904001;1269;0516301002;22625,148
0501904001;620;0522001001;24298,529
0501904001;1009;0523801001;16679,119
0501904001;464;0524101002;29453,038
0501904001;986;0524101002;29453,038
0501904002;718;0501902002;952,493
0501904002;1517;0501904002;0,000
0501904002;141;0501904005;665,040
0501904002;1527;0501904005;665,040
0501904002;1358;0501904006;369,678
0501904002;363;0501904009;390,599
0501904002;722;0501906001;726,202
0501904002;119;0501903002;4890,902
0501904002;263;0501904011;1851,025
0501904002;1256;0501905004;1764,795
0501904002;1108;0501906002;1416,477
0501904002;1274;0501906005;1061,887
0501904002;637;0501906008;1679,206
0501904002;1359;0501906008;1679,206
0501904002;702;0501906006;1228,526
0501904002;438;0501901002;6338,206
0501904002;312;0504901001;9748,708
0501904002;621;0507601001;5722,335
0501904002;626;0512801001;12617,862
0501904002;120;0502201002;29166,034
0501904002;1524;0502201002;29166,034
0501904002;309;0505901001;25023,765
0501904002;136;0510201002;26505,263
0501904002;302;0513501001;27917,851
0501904002;1415;0513801001;18388,618
0501904002;320;0515801001;21482,860
0501904002;1414;0516101001;22568,065
0501904002;674;0516301002;27890,110
0501904002;1269;0516301002;27890,110
0501904002;127;0516802001;28029,405
0501904002;1140;0520401001;28416,380
0501904002;620;0522001001;21298,128
0501904002;1009;0523801001;22047,403
0501904002;156;4022501001;26420,840
0501904003;1517;0501904002;303,384
0501904003;141;0501904005;775,165
0501904003;1527;0501904005;775,165
0501904003;1358;0501904006;557,007
0501904003;363;0501904009;142,429
0501904003;718;0501902002;1215,963
0501904003;263;0501904011;1910,118
0501904003;1256;0501905004;1951,234
0501904003;722;0501906001;1029,569
0501904003;1108;0501906002;1668,945
0501904003;1274;0501906005;1364,170
0501904003;637;0501906008;1980,864
0501904003;1359;0501906008;1980,864
0501904003;702;0501906006;1531,351
0501904003;438;0501901002;6368,311
0501904003;119;0501903002;5139,211
0501904003;312;0504901001;9909,279
0501904003;621;0507601001;5422,353
0501904003;626;0512801001;12868,821
0501904003;120;0502201002;29020,390
0501904003;1524;0502201002;29020,390
0501904003;639;0504101001;29823,584
0501904003;309;0505901001;24872,425
0501904003;136;0510201002;26552,511
0501904003;302;0513501001;27669,758
0501904003;1415;0513801001;18121,940
0501904003;320;0515801001;21224,803
0501904003;1414;0516101001;22704,405
0501904003;674;0516301002;27681,642
0501904003;1269;0516301002;27681,642
0501904003;127;0516802001;28201,303
0501904003;1140;0520401001;28696,461
0501904003;620;0522001001;21327,286
0501904003;1009;0523801001;21752,300
0501904003;156;4022501001;26703,963
0501904004;1517;0501904002;366,887
0501904004;141;0501904005;503,734
0501904004;1527;0501904005;503,734
0501904004;1358;0501904006;370,289
0501904004;363;0501904009;210,878
0501904004;722;0501906001;996,163
0501904004;718;0501902002;1050,502
0501904004;263;0501904011;1616,242
0501904004;1256;0501905004;1695,320
0501904004;1108;0501906002;1476,161
0501904004;1274;0501906005;1345,025
0501904004;637;0501906008;1958,555
0501904004;1359;0501906008;1958,555
0501904004;702;0501906006;1470,696
0501904004;438;0501901002;6643,098
0501904004;119;0501903002;5246,325
0501904004;312;0504901001;10112,292
0501904004;621;0507601001;5544,113
0501904004;626;0512801001;12970,256
0501904004;120;0502201002;28804,891
0501904004;1524;0502201002;28804,891
0501904004;639;0504101001;29745,597
0501904004;309;0505901001;25156,005
0501904004;136;0510201002;26259,627
0501904004;302;0513501001;27894,152
0501904004;1415;0513801001;18323,484
0501904004;320;0515801001;21137,265
0501904004;1414;0516101001;22417,824
0501904004;674;0516301002;27524,417
0501904004;1269;0516301002;27524,417
0501904004;127;0516802001;27926,173
0501904004;1140;0520401001;28740,121
0501904004;620;0522001001;21603,511
0501904004;1009;0523801001;21890,719
0501904004;156;4022501001;26535,680
0501904005;718;0501902002;691,343
0501904005;1517;0501904002;665,040
0501904005;141;0501904005;0,000
0501904005;1527;0501904005;0,000
0501904005;1358;0501904006;312,531
0501904005;363;0501904009;714,563
0501904005;722;0501906001;893,466
0501904005;263;0501904011;1187,256
0501904005;1256;0501905004;1192,931
0501904005;1108;0501906002;1040,914
0501904005;1274;0501906005;1213,433
0501904005;637;0501906008;1775,092
0501904005;1359;0501906008;1775,092
0501904005;702;0501906006;1254,388
0501904005;438;0501901002;6985,786
0501904005;119;0501903002;5222,474
0501904005;312;0504901001;10262,088
0501904005;621;0507601001;5959,926
0501904005;626;0512801001;12913,802
0501904005;120;0502201002;28648,160
0501904005;1524;0502201002;28648,160
0501904005;639;0504101001;29864,871
0501904005;309;0505901001;25646,828
0501904005;136;0510201002;25840,299
0501904005;302;0513501001;28387,573
0501904005;1415;0513801001;18803,072
0501904005;320;0515801001;21242,511
0501904005;1414;0516101001;21932,484
0501904005;674;0516301002;27496,190
0501904005;1269;0516301002;27496,190
