CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3703101001;357;191,826;1959;0,02;0,56;7,77;1601
3703201001;487;162,15;1992;0,02;0,68;7,39;1602
3703301001;72;246,472;1960;0,02;0,54;25,86;1603
3703401001;50;277,02;1972;0,02;0,66;34,21;1604
3703501001;304;190,924;1957;0,02;0,64;20,64;1605
3703601001;83;175,964;1970;0,02;0,47;41,94;1606
3703701001;90;233,3;1972;0,02;0,37;14,63;1607
3703801001;669;192,114;1981;0,02;0,65;19,05;1608
3703901001;292;185,041;1969;0,02;0,63;20,78;1609
3704001001;337;155,822;1958;0,02;0,69;21,62;1610
3704101001;64;212,859;1959;0,03;0,72;36,17;1611
3704201001;47;217,255;1968;0,02;0,6;10;1612
3704401001;423;192,234;1966;0,02;0,7;5,48;1613
3704501001;35;225;1969;0,02;0,39;37,5;1614
3704601001;1220;95,71;1968;0,02;0,72;2,65;3531
3704601003;873;94,157;1958;0,02;0,92;6,96;1615
3704602001;683;108,343;1976;0,01;0,52;0;1616
3704602002;876;113,356;1972;0,02;0,82;12,43;1617
3704603001;799;110,772;1978;0,02;0,64;2,36;1618
3704603002;974;89,073;1984;0,02;0,66;1,91;1619
3704603003;912;110,263;1985;0,01;0,37;1,31;1620
3704604001;532;73,25;1969;0,01;0,44;0,81;1621
3704604002;663;91,719;1982;0,01;0,24;1,45;1622
3704604003;786;194,038;1980;0,02;0,74;8,28;1623
3704604004;769;94,905;1976;0,01;0,38;0,13;1624
3704604005;699;86,805;1971;0,01;0,31;0;1625
3704701001;75;165,307;1962;0,02;0,78;50,79;1626
3704901001;196;194,816;1978;0,02;0,63;12,9;1627
3705001001;64;192,109;1952;0,02;0,59;71,43;1628
3705101001;68;209,294;1934;0,03;0,55;27,42;1629
3705201001;233;171,275;1971;0,02;0,6;22,63;1630
3705401001;251;199,127;1967;0,02;0,72;26,19;1631
3705501001;122;205,074;1963;0,02;0,55;45,45;1632
3705601001;58;207,983;1969;0,02;0,58;28,89;1633
3705701001;198;191,828;1961;0,02;0,61;21,08;1634
3705801001;89;181,427;1969;0,02;0,76;7,69;1635
3705901001;111;193,595;1970;0,02;0,61;28,75;1636
3706001001;268;225,813;1996;0,02;0,53;20,99;1637
3706101001;232;190,94;1974;0,02;0,49;11,79;1638
3706201001;81;217,457;1939;0,03;0,48;30,88;1639
3706301001;118;190,568;1948;0,02;0,63;15;1640
3706501001;368;178,359;1971;0,02;0,61;15,62;1641
3706701001;633;232,401;1998;0,01;0,45;3,64;1642
3706701002;781;208,323;1999;0,01;0,48;3,41;1643
3706801001;348;216,402;1968;0,02;0,62;24,49;1644
3706901001;804;185,922;1989;0,01;0,7;9,43;1645
3707001001;567;184,929;1990;0,01;0,61;10,91;1646
3707101001;121;164,529;1968;0,02;0,46;14,29;1647
3707201001;124;143;1966;0,02;0,66;14,41;1648
3707301001;522;201,569;1984;0,01;0,63;7,1;1649
3707401001;117;171,983;1970;0,02;0,66;26,04;1650
3707701001;182;215,951;1970;0,01;0,63;7,59;1651
3707801001;1116;162,309;1959;0,03;0,84;4,75;1652
3707901001;52;261,058;1952;0,02;0,69;34,04;1653
3708001001;211;191,332;1972;0,02;0,6;4,68;1654
3708101001;764;173,618;1966;0,01;0,79;9,61;1655
3708201001;719;201,495;1975;0,01;0,6;14,04;1656
3708301001;202;192,96;1981;0,01;0,63;6,86;1657
3708501001;793;129,378;1998;0;0,59;0,62;1658
3708501002;848;100,459;2001;0;0,44;0,72;1659
3708501003;811;162,814;2007;0;0,49;0;1660
3708501004;731;322,41;2004;0;0,33;0;1661
3708601001;48;213;1972;0,02;0,52;44,74;1662
3708701001;657;204,959;2001;0,01;0,49;2,29;1663
3708801001;167;157,611;1954;0,02;0,71;37,41;1664
3708901001;96;230;1964;0,02;0,57;29,63;1665
3709001001;172;187,424;1970;0,02;0,51;32,89;1666
3709101001;300;204,28;1974;0,02;0,56;13,47;1667
3709201001;1622;133,288;2004;0,01;0,63;6,21;1668
3709601001;125;225,824;1973;0,02;0,56;38,46;1669
3709701001;35;184,543;1946;0,02;0,73;50;1670
3709801001;348;201,994;1978;0,02;0,52;10,32;1671
3709901001;88;201,523;1950;0,02;0,46;27,5;1672
