Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
40001 Abades;;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;29,2
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;1,7
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;1,6
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;1,3
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;1,4
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;2,8
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;4,5
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;4,4
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;5,3
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;6
40001 Abades;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;2,6
