CP,lat,lon,CUSEC
24002,42.6,-5.5703,2408904007
24003,42.6,-5.5703,2408904007
24004,42.6,-5.5703,2408904007
24005,42.6,-5.5703,2408904007
24006,42.6,-5.5703,2408904007
24007,42.6,-5.5703,2408904007
24008,42.6,-5.5703,2408904007
24009,42.57904,-5.58816,2408909001
24010,42.6,-5.5703,2408904007
24070,42.6,-5.5703,2408904007
24071,42.6,-5.5703,2408904007
24080,42.6,-5.5703,2408904007
24100,42.9396,-6.3201,2420201002
24110,42.9524,-6.3701,2420203001
24111,42.9499,-6.397,2420202001
24112,42.9417,-6.3325,2420201003
24113,42.9694,-6.3545,2420201005
24114,42.95329999999999,-6.363600000000001,2420203001
24120,42.78735,-5.80985,2416701001
24121,42.649100000000004,-5.629533333333334,2416301004
24122,42.6705,-5.6332,2406101001
24123,42.798457142857146,-5.7584,2404001001
24124,42.767925,-5.845175,2415801001
24125,42.76056666666667,-5.894566666666666,2416701001
24126,42.78406666666666,-5.909700000000001,2413201001
24127,42.765919999999994,-5.979416,2413201001
24130,42.85039999999999,-6.2014499999999995,2410101001
24131,42.782,-5.9990000000000006,2413201001
24132,42.81002,-6.03343,2413201001
24133,42.796416666666666,-6.140033333333334,2413201001
24134,42.82613333333333,-6.109166666666667,2410101001
24135,42.8195,-6.1379,2410101001
24136,42.856233333333336,-6.157766666666667,2410101001
24137,42.8943,-6.208,2410101001
24138,42.917,-6.2463,2420202002
24139,42.9412,-6.288266666666668,2420203001
24140,42.964150000000004,-6.25445,2420203001
24141,42.986642857142854,-6.206228571428572,2402901001
24142,42.94758,-6.149559999999999,2402901001
24143,42.96134285714286,-6.097157142857143,2414501001
24144,42.987100000000005,-6.007636363636364,2414501001
24145,42.86452,-5.968,2413201001
24146,42.92295,-5.8772,2416401001
24148,42.8594,-5.8983,2401201001
24149,42.83,-5.823425,2401201001
24150,42.708325,-5.369125,2415101001
24151,42.7369,-5.4075,2415101001
24152,42.81053333333333,-5.3358,2419901001
24153,42.6924,-5.4135333333333335,2420101001
24154,42.6478,-5.373833333333333,2420101001
24155,42.6422,-5.41648,2420101001
24156,42.59526666666667,-5.437666666666668,2417501001
24160,42.643950000000004,-5.24325,2407901001
24161,42.645916666666665,-5.188766666666667,2407901001
24162,42.5515,-5.4277,2422501001
24163,42.573775,-5.40465,2422501001
24164,42.57785,-5.36325,2407901001
24165,42.615480000000005,-5.32732,2407901001
24166,42.588175,-5.283275,2407901001
24170,42.68474,-5.01178,2400401001
24171,42.60015,-5.038075,2400401001
24172,42.51022,-5.0222999999999995,2421501001
24174,42.4624,-5.0122,2405101001
24175,42.41915,-5.03795,2421501001
24191,42.61095,-5.59505,2414201003
24192,42.5563,-5.580500000000001,2408909002
24193,42.645849999999996,-5.55875,2422201001
24195,42.6213875,-5.50775,2417501001
24196,42.6558,-5.607,2416301003
24197,42.65224,-5.52428,2422202001
24198,42.5806,-5.6411,2418901003
24199,42.539474999999996,-5.543825,2422701001
24200,42.2937,-5.5172,2418801001
24205,42.3165,-5.5334,2418801003
24206,42.21268333333333,-5.444366666666667,2417801001
24207,42.260575,-5.403275,2409901001
24208,42.3173,-5.4271,2410701001
24209,42.362225,-5.42815,2408101001
24210,42.4989,-5.4174,2409401001
24217,42.50011666666666,-5.458200000000001,2421801001
24218,42.52883333333333,-5.337,2409401001
24219,42.529,-5.3857333333333335,2422501001
24220,42.0761,-5.4232,2418101001
24221,42.1422,-5.4928,2403201001
24222,42.19735,-5.54155,2490201001
24223,42.3497,-5.5029,2407301001
24224,42.38856,-5.51,2410701001
24225,42.42445,-5.4856750000000005,2421801001
24226,42.522040000000004,-5.489369999999999,2422701001
24227,42.56668,-5.49336,2417501001
24228,42.601914285714294,-5.474714285714286,2417501001
24230,42.4197,-5.618,2418701001
24231,42.50506666666667,-5.583633333333334,2410501001
24232,42.44616666666667,-5.595033333333333,2400601001
24233,42.3879,-5.574333333333333,2421201001
24234,42.27847777777778,-5.627033333333333,2421201001
24235,42.1451,-5.5973,2422101001
24236,42.1215,-5.5704,2422101001
24237,42.26583333333333,-5.565633333333333,2420701001
