Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2018;39,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2017;40
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2016;39,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2015;43,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2023;205
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2022;202
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2021;201
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2020;197
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2019;202
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2018;203
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2017;219
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2016;221
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Población;2015;220
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2023;90,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2022;92,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2021;93,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población española;2020;93,9
