Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Población;2017;1.836
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Población;2016;1.849
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Población;2015;1.810
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2023;97,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2022;97,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2021;97,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2020;97,6
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2019;97,3
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2018;97,4
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2017;97,5
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2016;97,7
24064 Cubillos del Sil;2406401 Cubillos del Sil distrito 01;2406401001 Cubillos del Sil sección 01001;Porcentaje de población española;2015;97,3
24065 Chozas de Abajo;;;Edad media de la población;2023;46,6
24065 Chozas de Abajo;;;Edad media de la población;2022;46,4
24065 Chozas de Abajo;;;Edad media de la población;2021;46,4
24065 Chozas de Abajo;;;Edad media de la población;2020;46,7
24065 Chozas de Abajo;;;Edad media de la población;2019;47,1
24065 Chozas de Abajo;;;Edad media de la población;2018;46,5
24065 Chozas de Abajo;;;Edad media de la población;2017;46,6
24065 Chozas de Abajo;;;Edad media de la población;2016;46,3
24065 Chozas de Abajo;;;Edad media de la población;2015;46,2
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2023;15,3
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2022;15,3
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2021;14,8
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2020;15
