servicio_id;distancia;Seccion_id
4994;7349,421;34
5317;7349,421;34
5320;7349,421;34
7189;7349,421;34
1215;13604,846;34
23;1905,488;35
26;1905,488;35
329;1905,488;35
334;1905,488;35
339;1905,488;35
2055;1905,488;35
2338;1905,488;35
3480;1905,488;35
5005;1905,488;35
5322;1905,488;35
6218;1905,488;35
6224;1905,488;35
24;2703,877;35
764;2703,877;35
1200;2703,877;35
2056;2703,877;35
2909;2703,877;35
3498;2703,877;35
4993;2703,877;35
6220;2703,877;35
52;6501,744;35
333;6501,744;35
1204;6501,744;35
2054;6501,744;35
3487;6501,744;35
3494;6501,744;35
4437;6501,744;35
4994;6501,744;35
5317;6501,744;35
5320;6501,744;35
7189;6501,744;35
335;5038,880;35
1203;5038,880;35
2057;5038,880;35
2058;5038,880;35
3481;5038,880;35
7187;5038,880;35
7195;5038,880;35
7736;5038,880;35
1215;13880,678;35
335;4669,879;36
1203;4669,879;36
2057;4669,879;36
2058;4669,879;36
3481;4669,879;36
7187;4669,879;36
7195;4669,879;36
7736;4669,879;36
23;1294,250;36
26;1294,250;36
329;1294,250;36
334;1294,250;36
339;1294,250;36
2055;1294,250;36
2338;1294,250;36
3480;1294,250;36
5005;1294,250;36
5322;1294,250;36
6218;1294,250;36
6224;1294,250;36
24;2631,320;36
764;2631,320;36
1200;2631,320;36
2056;2631,320;36
2909;2631,320;36
3498;2631,320;36
4993;2631,320;36
6220;2631,320;36
52;7187,584;36
333;7187,584;36
1204;7187,584;36
2054;7187,584;36
3487;7187,584;36
3494;7187,584;36
4437;7187,584;36
4994;7187,584;36
5317;7187,584;36
5320;7187,584;36
7189;7187,584;36
1215;13441,404;36
23;862,583;37
26;862,583;37
329;862,583;37
334;862,583;37
339;862,583;37
2055;862,583;37
2338;862,583;37
3480;862,583;37
5005;862,583;37
5322;862,583;37
6218;862,583;37
6224;862,583;37
335;4362,588;37
1203;4362,588;37
2057;4362,588;37
2058;4362,588;37
3481;4362,588;37
7187;4362,588;37
7195;4362,588;37
7736;4362,588;37
24;2838,847;37
764;2838,847;37
1200;2838,847;37
2056;2838,847;37
2909;2838,847;37
3498;2838,847;37
4993;2838,847;37
6220;2838,847;37
52;8162,918;37
333;8162,918;37
1204;8162,918;37
2054;8162,918;37
3487;8162,918;37
3494;8162,918;37
4437;8162,918;37
4994;8162,918;37
5317;8162,918;37
5320;8162,918;37
7189;8162,918;37
1215;12829,538;37
335;2843,615;38
1203;2843,615;38
2057;2843,615;38
2058;2843,615;38
3481;2843,615;38
7187;2843,615;38
7195;2843,615;38
7736;2843,615;38
23;3301,964;38
26;3301,964;38
329;3301,964;38
334;3301,964;38
339;3301,964;38
2055;3301,964;38
2338;3301,964;38
3480;3301,964;38
5005;3301,964;38
5322;3301,964;38
6218;3301,964;38
6224;3301,964;38
52;10669,550;38
333;10669,550;38
1204;10669,550;38
2054;10669,550;38
3487;10669,550;38
3494;10669,550;38
4437;10669,550;38
4994;10669,550;38
5317;10669,550;38
5320;10669,550;38
7189;10669,550;38
24;5305,908;38
764;5305,908;38
1200;5305,908;38
2056;5305,908;38
2909;5305,908;38
3498;5305,908;38
4993;5305,908;38
6220;5305,908;38
1215;13430,486;38
335;1656,658;39
1203;1656,658;39
2057;1656,658;39
2058;1656,658;39
3481;1656,658;39
7187;1656,658;39
7195;1656,658;39
7736;1656,658;39
52;11090,621;39
333;11090,621;39
1204;11090,621;39
2054;11090,621;39
3487;11090,621;39
3494;11090,621;39
4437;11090,621;39
4994;11090,621;39
5317;11090,621;39
5320;11090,621;39
7189;11090,621;39
23;6309,398;39
26;6309,398;39
329;6309,398;39
334;6309,398;39
339;6309,398;39
2055;6309,398;39
2338;6309,398;39
3480;6309,398;39
5005;6309,398;39
5322;6309,398;39
