Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Burgos;09148;2023;0;3;6;5;5;3;6;7;6;8;9;12;8;9;7;0;12;2;1;3;2;15;72;27;1,800;0,583
Burgos;09149;2021;0;1;3;6;2;4;1;2;4;10;5;2;8;2;7;0;3;1;4;1;0;10;40;16;1,600;0,650
Burgos;09149;2022;0;0;1;5;4;5;1;1;2;8;4;5;6;3;6;1;2;2;4;1;0;7;38;16;2,286;0,605
Burgos;09149;2023;0;0;1;5;5;5;2;3;1;8;2;6;5;4;7;1;1;3;1;1;0;7;40;14;2,000;0,525
Burgos;09151;2021;0;9;12;36;36;25;19;20;21;32;47;43;60;43;39;44;21;18;10;15;5;64;339;152;2,375;0,637
Burgos;09151;2022;1;9;16;34;40;24;22;17;22;32;46;48;57;53;39;45;20;18;14;13;6;67;353;156;2,328;0,632
Burgos;09151;2023;2;8;15;30;46;24;21;25;27;31;38;59;45;62;40;47;27;17;13;10;8;62;369;164;2,645;0,612
Burgos;09152;2021;2;17;15;15;20;19;11;33;23;23;22;33;33;26;18;20;8;12;18;6;1;51;239;85;1,667;0,569
Burgos;09152;2022;0;20;13;20;18;20;15;33;20;25;28;28;33;26;18;23;8;9;16;9;1;57;242;84;1,474;0,583
Burgos;09152;2023;0;16;15;21;18;20;15;26;25;25;29;30;33;25;21;21;16;8;8;12;1;56;242;87;1,554;0,591
Burgos;09154;2021;0;3;2;6;5;6;4;3;4;8;12;20;6;14;10;9;11;10;8;8;2;12;81;58;4,833;0,864
Burgos;09154;2022;0;2;2;4;8;5;6;4;4;7;12;21;6;15;9;9;11;10;7;7;2;10;86;55;5,500;0,756
Burgos;09154;2023;0;2;2;3;8;5;4;5;5;5;13;19;7;15;9;11;8;13;6;9;1;9;84;57;6,333;0,786
Burgos;09155;2021;0;1;0;0;0;0;0;3;3;1;0;3;1;1;4;6;4;3;0;0;0;1;12;17;17,000;1,500
Burgos;09155;2022;0;1;0;0;0;0;0;3;2;2;0;1;3;1;3;5;6;3;0;0;0;1;12;17;17,000;1,500
Burgos;09155;2023;0;3;0;0;0;0;0;2;2;2;1;1;1;2;4;4;4;3;0;0;0;3;11;15;5,000;1,636
Burgos;09159;2021;0;5;1;0;0;2;7;6;7;4;2;6;8;5;4;8;2;1;3;2;0;6;47;20;3,333;0,553
