Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05134;2022;31;26;57;54,386;45,614
Avila;05134;2023;30;24;54;55,556;44,444
Avila;05135;2021;219;187;406;53,941;46,059
Avila;05135;2022;247;215;462;53,463;46,537
Avila;05135;2023;260;228;488;53,279;46,721
Avila;05136;2021;47;34;81;58,025;41,975
Avila;05136;2022;45;35;80;56,250;43,750
Avila;05136;2023;46;33;79;58,228;41,772
Avila;05138;2021;161;165;326;49,387;50,613
Avila;05138;2022;153;157;310;49,355;50,645
Avila;05138;2023;151;149;300;50,333;49,667
Avila;05139;2021;42;35;77;54,545;45,455
Avila;05139;2022;42;36;78;53,846;46,154
Avila;05139;2023;40;36;76;52,632;47,368
Avila;05140;2021;57;51;108;52,778;47,222
Avila;05140;2022;56;53;109;51,376;48,624
Avila;05140;2023;57;55;112;50,893;49,107
Avila;05141;2021;55;46;101;54,455;45,545
Avila;05141;2022;56;43;99;56,566;43,434
Avila;05141;2023;53;50;103;51,456;48,544
Avila;05142;2021;46;45;91;50,549;49,451
Avila;05142;2022;47;42;89;52,809;47,191
Avila;05142;2023;48;40;88;54,545;45,455
Avila;05143;2021;30;35;65;46,154;53,846
Avila;05143;2022;28;26;54;51,852;48,148
Avila;05143;2023;28;23;51;54,902;45,098
Avila;05144;2021;37;34;71;52,113;47,887
Avila;05144;2022;34;27;61;55,738;44,262
Avila;05144;2023;33;27;60;55,000;45,000
Avila;05145;2021;24;14;38;63,158;36,842
Avila;05145;2022;26;14;40;65,000;35,000
Avila;05145;2023;24;13;37;64,865;35,135
Avila;05147;2021;90;70;160;56,250;43,750
Avila;05147;2022;85;69;154;55,195;44,805
Avila;05147;2023;83;66;149;55,705;44,295
Avila;05148;2021;15;11;26;57,692;42,308
Avila;05148;2022;18;15;33;54,545;45,455
Avila;05148;2023;16;14;30;53,333;46,667
Avila;05149;2021;59;46;105;56,190;43,810
Avila;05149;2022;57;49;106;53,774;46,226
Avila;05149;2023;58;54;112;51,786;48,214
Avila;05151;2021;50;42;92;54,348;45,652
Avila;05151;2022;50;42;92;54,348;45,652
Avila;05151;2023;52;43;95;54,737;45,263
Avila;05152;2021;371;342;713;52,034;47,966
Avila;05152;2022;360;334;694;51,873;48,127
Avila;05152;2023;344;334;678;50,737;49,263
Avila;05153;2021;41;38;79;51,899;48,101
Avila;05153;2022;43;44;87;49,425;50,575
Avila;05153;2023;44;41;85;51,765;48,235
Avila;05154;2021;23;11;34;67,647;32,353
Avila;05154;2022;25;12;37;67,568;32,432
Avila;05154;2023;26;13;39;66,667;33,333
Avila;05155;2021;29;19;48;60,417;39,583
Avila;05155;2022;28;19;47;59,574;40,426
Avila;05155;2023;33;22;55;60,000;40,000
Avila;05156;2021;215;140;355;60,563;39,437
Avila;05156;2022;218;146;364;59,890;40,110
Avila;05156;2023;212;144;356;59,551;40,449
Avila;05157;2021;123;101;224;54,911;45,089
Avila;05157;2022;124;94;218;56,881;43,119
Avila;05157;2023;126;94;220;57,273;42,727
Avila;05158;2021;189;164;353;53,541;46,459
Avila;05158;2022;190;171;361;52,632;47,368
Avila;05158;2023;196;173;369;53,117;46,883
Avila;05159;2021;107;104;211;50,711;49,289
Avila;05159;2022;105;102;207;50,725;49,275
Avila;05159;2023;98;96;194;50,515;49,485
Avila;05160;2021;181;140;321;56,386;43,614
Avila;05160;2022;180;136;316;56,962;43,038
Avila;05160;2023;185;139;324;57,099;42,901
Avila;05161;2021;410;356;766;53,525;46,475
Avila;05161;2022;403;362;765;52,680;47,320
Avila;05161;2023;416;369;785;52,994;47,006
Avila;05162;2021;50;37;87;57,471;42,529
Avila;05162;2022;46;35;81;56,790;43,210
Avila;05162;2023;48;35;83;57,831;42,169
Avila;05163;2021;1056;1055;2111;50,024;49,976
Avila;05163;2022;1072;1068;2140;50,093;49,907
Avila;05163;2023;1087;1085;2172;50,046;49,954
Avila;05164;2021;11;11;22;50,000;50,000
Avila;05164;2022;12;12;24;50,000;50,000
Avila;05164;2023;21;18;39;53,846;46,154
Avila;05165;2021;217;211;428;50,701;49,299
Avila;05165;2022;230;221;451;50,998;49,002
Avila;05165;2023;233;219;452;51,549;48,451
Avila;05166;2021;86;86;172;50,000;50,000
Avila;05166;2022;77;73;150;51,333;48,667
Avila;05166;2023;98;78;176;55,682;44,318
Avila;05167;2021;156;119;275;56,727;43,273
Avila;05167;2022;171;121;292;58,562;41,438
Avila;05167;2023;179;129;308;58,117;41,883
Avila;05168;2021;2703;2565;5268;51,310;48,690
Avila;05168;2022;2711;2559;5270;51,442;48,558
Avila;05168;2023;2743;2629;5372;51,061;48,939
Avila;05169;2021;136;107;243;55,967;44,033
Avila;05169;2022;131;107;238;55,042;44,958
Avila;05169;2023;133;104;237;56,118;43,882
Avila;05170;2021;24;31;55;43,636;56,364
Avila;05170;2022;26;33;59;44,068;55,932
Avila;05170;2023;25;30;55;45,455;54,545
Avila;05171;2021;34;30;64;53,125;46,875
Avila;05171;2022;35;29;64;54,688;45,312
Avila;05171;2023;34;28;62;54,839;45,161
Avila;05172;2021;115;74;189;60,847;39,153
Avila;05172;2022;104;71;175;59,429;40,571
Avila;05172;2023;111;76;187;59,358;40,642
Avila;05173;2021;47;37;84;55,952;44,048
Avila;05173;2022;47;39;86;54,651;45,349
Avila;05173;2023;52;46;98;53,061;46,939
Avila;05174;2021;41;30;71;57,746;42,254
Avila;05174;2022;46;35;81;56,790;43,210
Avila;05174;2023;39;32;71;54,930;45,070
Avila;05175;2021;85;65;150;56,667;43,333
Avila;05175;2022;83;61;144;57,639;42,361
Avila;05175;2023;79;54;133;59,398;40,602
Avila;05176;2021;147;125;272;54,044;45,956
Avila;05176;2022;157;130;287;54,704;45,296
Avila;05176;2023;154;121;275;56,000;44,000
Avila;05177;2021;80;65;145;55,172;44,828
Avila;05177;2022;80;63;143;55,944;44,056
Avila;05177;2023;79;64;143;55,245;44,755
Avila;05178;2021;209;180;389;53,728;46,272
Avila;05178;2022;208;180;388;53,608;46,392
Avila;05178;2023;225;188;413;54,479;45,521
Avila;05179;2021;112;113;225;49,778;50,222
Avila;05179;2022;115;117;232;49,569;50,431
Avila;05179;2023;111;112;223;49,776;50,224
Avila;05180;2021;43;27;70;61,429;38,571
Avila;05180;2022;42;25;67;62,687;37,313
Avila;05180;2023;40;24;64;62,500;37,500
Avila;05181;2021;26;13;39;66,667;33,333
Avila;05181;2022;27;15;42;64,286;35,714
Avila;05181;2023;25;13;38;65,789;34,211
Avila;05182;2021;429;380;809;53,028;46,972
Avila;05182;2022;422;376;798;52,882;47,118
Avila;05182;2023;416;376;792;52,525;47,475
Avila;05183;2021;69;69;138;50,000;50,000
Avila;05183;2022;74;66;140;52,857;47,143
Avila;05183;2023;71;65;136;52,206;47,794
Avila;05184;2021;159;119;278;57,194;42,806
Avila;05184;2022;161;124;285;56,491;43,509
Avila;05184;2023;171;135;306;55,882;44,118
Avila;05185;2021;63;53;116;54,310;45,690
Avila;05185;2022;60;50;110;54,545;45,455
Avila;05185;2023;58;48;106;54,717;45,283
Avila;05186;2021;851;916;1767;48,161;51,839
Avila;05186;2022;839;895;1734;48,385;51,615
Avila;05186;2023;805;874;1679;47,945;52,055
