Provincia;CMuni;CUSEC;area_km2
Burgos;09059;0905903009;0,265
Burgos;09059;0905903010;0,134
Burgos;09059;0905903011;0,307
Burgos;09059;0905904001;0,210
Burgos;09059;0905904002;0,059
Burgos;09059;0905904003;0,085
Burgos;09059;0905904004;0,197
Burgos;09059;0905905001;0,046
Burgos;09059;0905905002;0,035
Burgos;09059;0905905003;0,023
Burgos;09059;0905905004;0,028
Burgos;09059;0905905005;0,045
Burgos;09059;0905905006;0,022
Burgos;09059;0905905007;0,033
Burgos;09059;0905905008;0,022
Burgos;09059;0905905009;0,032
Burgos;09059;0905905010;0,056
Burgos;09059;0905905011;0,179
Burgos;09059;0905905012;0,149
Burgos;09059;0905905013;0,110
Burgos;09059;0905905014;0,135
Burgos;09059;0905905015;0,050
Burgos;09059;0905905016;0,034
Burgos;09059;0905905017;0,169
Burgos;09059;0905905018;0,040
Burgos;09059;0905905019;0,049
Burgos;09059;0905905020;0,051
Burgos;09059;0905905021;0,018
Burgos;09059;0905905022;0,043
Burgos;09059;0905905023;0,049
Burgos;09059;0905905024;0,331
Burgos;09059;0905905025;0,034
Burgos;09059;0905905026;0,043
Burgos;09059;0905905027;0,072
Burgos;09059;0905905028;0,033
Burgos;09059;0905905029;0,037
Burgos;09059;0905905030;0,081
Burgos;09059;0905905031;0,266
Burgos;09059;0905905032;0,058
Burgos;09059;0905905033;0,082
Burgos;09059;0905905034;0,015
Burgos;09059;0905905035;0,193
Burgos;09059;0905905036;0,013
Burgos;09059;0905905037;0,059
Burgos;09059;0905905038;16,604
Burgos;09059;0905905039;0,050
Burgos;09059;0905905040;0,128
Burgos;09059;0905905041;0,243
Burgos;09059;0905905042;0,087
Burgos;09059;0905905043;0,105
Burgos;09059;0905905044;0,041
Burgos;09059;0905905045;0,113
Burgos;09059;0905905046;0,054
Burgos;09059;0905905047;0,349
Burgos;09059;0905905048;8,224
Burgos;09059;0905905049;0,341
Burgos;09059;0905905050;0,040
Burgos;09059;0905905051;0,294
Burgos;09059;0905905052;0,216
Burgos;09059;0905906001;0,060
Burgos;09059;0905906002;0,026
Burgos;09059;0905906003;0,041
Burgos;09059;0905906004;0,094
Burgos;09059;0905906005;0,040
Burgos;09059;0905906006;1,647
Burgos;09059;0905906007;0,105
Burgos;09059;0905906008;0,558
Burgos;09059;0905906009;0,019
Burgos;09059;0905906010;0,010
Burgos;09059;0905906011;0,052
Burgos;09059;0905906012;0,221
Burgos;09059;0905907001;0,071
Burgos;09059;0905907002;0,106
Burgos;09059;0905907003;0,274
Burgos;09059;0905907004;0,056
Burgos;09059;0905907005;0,061
Burgos;09059;0905907006;0,127
Burgos;09059;0905907007;11,618
Burgos;09059;0905907008;0,115
Burgos;09059;0905907009;0,027
Burgos;09059;0905907010;3,354
Burgos;09059;0905908001;0,017
Burgos;09059;0905908002;0,063
Burgos;09059;0905908003;4,081
Burgos;09059;0905908004;0,175
Burgos;09059;0905908005;7,302
Burgos;09059;0905908006;0,185
Burgos;09059;0905908007;0,021
Burgos;09059;0905908008;0,096
