Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población;Rural
Palencia;34073;2021;57,500;50,600;98,900;1,100;2,000;0;0;2;2;2;5;7;9;7;11;21;14;18;19;13;14;19;5;7;5;4;4;113;67;16,750;0,628;89;95;184;48,370;51,630;44,015;4,180;True
Palencia;34073;2022;58,400;50,600;99,400;0,600;2,000;0;2;1;2;2;6;8;7;5;9;19;14;18;21;15;12;21;6;6;7;3;5;109;70;14,000;0,688;88;96;184;47,826;52,174;44,015;4,180;True
Palencia;34073;2023;58,900;51,200;99,400;0,600;2,000;1;2;1;1;3;7;6;4;7;10;12;20;13;24;9;16;18;7;7;7;3;5;105;68;13,600;0,695;86;92;178;48,315;51,685;44,015;4,044;True
Palencia;34074;2021;51,600;32,300;96,100;3,900;2,300;1;24;20;21;17;22;34;34;54;45;40;73;68;70;60;46;45;37;30;25;11;68;454;255;3,750;0,711;397;380;777;51,094;48,906;46,569;16,685;True
Palencia;34074;2022;52,000;34,700;96,300;3,700;2,200;1;26;18;18;16;24;31;39;46;48;41;60;70;66;65;49;47;34;33;26;11;65;438;266;4,092;0,756;389;380;769;50,585;49,415;46,569;16,513;True
Palencia;34074;2023;51,400;34,900;96,200;3,800;2,200;1;27;14;19;17;21;29;40;40;48;43;50;77;59;66;53;45;35;37;21;13;63;421;271;4,302;0,793;381;374;755;50,464;49,536;46,569;16,213;True
Palencia;34076;2021;50,800;36,800;92,500;7,500;2,300;0;11;18;13;35;25;34;32;35;36;45;71;53;38;34;35;42;27;27;11;5;49;397;181;3,694;0,579;318;309;627;50,718;49,282;60,494;10,365;True
Palencia;34076;2022;50,500;38,000;92,400;7,600;2,300;0;13;15;11;33;25;36;27;29;39;42;61;62;43;31;35;39;25;28;11;6;46;390;175;3,804;0,567;316;295;611;51,718;48,282;60,494;10,100;True
Palencia;34076;2023;51,500;40,300;95,600;4,400;2,100;0;12;15;11;32;25;31;34;22;41;38;54;69;44;28;31;44;21;26;10;5;44;384;165;3,750;0,544;307;286;593;51,771;48,229;60,494;9,803;True
Palencia;34077;2021;40,100;31,700;98,200;1,800;2,400;0;30;28;19;14;16;23;47;53;60;33;26;31;27;25;16;17;14;13;4;3;80;327;92;1,150;0,526;260;239;499;52,104;47,896;42,911;11,629;True
Palencia;34077;2022;41,300;28,900;99,000;1,000;2,500;0;30;22;29;14;15;23;50;51;56;40;29;31;28;24;17;13;14;11;2;1;84;334;82;0,976;0,497;260;240;500;52,000;48,000;42,911;11,652;True
Palencia;34077;2023;41,300;31,900;96,600;3,400;2,300;0;32;23;21;15;18;21;43;52;49;43;29;32;21;26;21;14;10;6;5;1;79;320;83;1,051;0,506;248;234;482;51,452;48,548;42,911;11,233;True
Palencia;34079;2021;38,400;24,600;97,100;2,900;2,600;0;139;205;169;121;86;98;171;230;289;235;206;176;129;73;51;48;31;36;8;2;537;1717;249;0,464;0,458;1300;1203;2503;51,938;48,062;28,582;87,573;True
Palencia;34079;2022;38,600;25,300;96,300;3,700;2,600;0;141;199;177;142;88;101;166;245;282;257;202;190;149;84;51;51;35;38;8;3;545;1794;270;0,495;0,454;1350;1259;2609;51,744;48,256;28,582;91,281;True
Palencia;34079;2023;38,806;23,541;95,778;4,222;2,600;0;141;199;200;147;94;102;166;218;301;269;228;191;155;95;55;52;34;35;13;3;569;1842;287;0,504;0,465;1397;1301;2698;51,779;48,221;28,582;94,395;True
Palencia;34080;2021;52,854;40,663;97,427;2,573;2,044;3;131;155;192;233;264;247;319;337;353;373;487;608;594;405;335;271;188;189;82;20;526;3767;1493;2,838;0,536;2853;2933;5786;49,309;50,691;62,813;92,115;True
Palencia;34080;2022;53,348;41,147;97,252;2,748;1,989;3;140;150;191;218;253;257;279;324;360;354;453;586;600;452;328;283;184;169;91;23;525;3640;1533;2,920;0,565;2811;2887;5698;49,333;50,667;62,813;90,714;True
Palencia;34080;2023;53,471;41,921;96,431;3,569;1,944;4;138;155;179;215;241;249;270;308;350;366;436;542;626;466;348;280;191;171;90;24;515;3560;1574;3,056;0,587;2792;2857;5649;49,425;50,575;62,813;89,934;True
Palencia;34081;2021;59,500;59,400;100,000;0,000;1,800;0;1;1;0;0;0;1;2;3;6;2;4;5;7;7;4;9;6;0;1;0;2;30;27;13,500;0,967;36;23;59;61,017;38,983;32,332;1,825;True
Palencia;34081;2022;60,300;57,600;100,000;0,000;1,700;0;1;1;0;0;0;1;0;6;1;6;3;4;7;6;4;9;7;0;0;0;2;28;26;13,000;1,000;35;21;56;62,500;37,500;32,332;1,732;True
Palencia;34081;2023;60,100;56,300;100,000;0,000;1,800;0;1;1;1;0;0;0;0;5;1;6;4;5;7;6;4;7;9;0;0;0;3;28;26;8,667;1,036;34;23;57;59,649;40,351;32,332;1,763;True
Palencia;34082;2021;66,100;39,000;100,000;0,000;1,900;0;0;0;0;0;0;1;2;0;7;9;5;4;5;10;10;10;4;8;2;1;0;33;45;inf;1,364;39;39;78;50,000;50,000;32,307;2,414;True
Palencia;34082;2022;66,600;42,900;100,000;0,000;1,800;0;0;0;0;0;0;0;2;0;4;11;5;4;5;7;15;11;4;6;3;1;0;31;47;inf;1,516;40;38;78;51,282;48,718;32,307;2,414;True
Palencia;34082;2023;67,100;46,500;100,000;0,000;1,700;1;0;0;0;1;0;0;2;0;3;8;6;3;6;6;15;12;1;6;4;0;0;29;45;inf;1,552;38;36;74;51,351;48,649;32,307;2,291;True
Palencia;34083;2021;51,995;41,092;97,896;2,104;2,000;1;54;64;68;80;71;71;94;107;118;119;134;172;172;125;121;100;80;70;62;10;202;1122;569;2,817;0,687;932;961;1893;49,234;50,766;99,026;19,116;True
Palencia;34083;2022;50,369;39,011;95,209;4,791;2,100;3;56;60;75;76;71;80;79;99;123;123;128;176;171;141;110;105;66;77;61;13;206;1111;576;2,796;0,704;925;968;1893;48,864;51,136;99,026;19,116;True
Palencia;34083;2023;53,093;41,793;98,190;1,810;2,000;3;48;65;74;84;62;73;68;104;124;112;133;171;179;154;106;109;70;74;64;10;204;1093;590;2,892;0,726;928;959;1887;49,179;50,821;99,026;19,056;True
Palencia;34084;2021;55,700;31,800;97,300;2,700;2,400;0;3;3;2;0;4;8;5;5;11;11;12;19;13;19;11;8;4;10;4;2;8;88;58;7,250;0,750;89;65;154;57,792;42,208;27,548;5,590;True
Palencia;34084;2022;54,800;35,400;96,700;3,300;2,300;0;2;4;3;0;3;7;5;3;12;12;11;20;12;14;16;10;3;9;2;1;9;85;55;6,111;0,753;83;66;149;55,705;44,295;27,548;5,409;True
Palencia;34084;2023;54,500;37,300;96,800;3,200;2,300;0;2;4;3;2;3;7;5;4;10;11;13;17;15;18;12;13;3;6;3;0;9;87;55;6,111;0,736;84;67;151;55,629;44,371;27,548;5,481;True
Palencia;34086;2021;53,700;36,200;98,000;2,000;2,200;0;3;1;0;1;0;5;9;8;13;12;5;4;11;10;6;4;8;0;2;0;4;68;30;7,500;0,500;51;51;102;50,000;50,000;29,518;3,456;True
Palencia;34086;2022;53,000;42,000;98,200;1,800;2,200;0;1;0;1;1;0;6;7;7;11;12;6;7;10;11;7;5;6;2;1;1;2;67;33;16,500;0,522;54;48;102;52,941;47,059;29,518;3,456;True
Palencia;34086;2023;53,400;42,000;99,100;0,900;2,100;0;3;1;1;1;0;6;7;6;12;12;8;7;11;11;9;5;6;3;0;1;5;70;35;7,000;0,571;56;54;110;50,909;49,091;29,518;3,727;True
Palencia;34087;2021;52,600;32,200;92,800;7,200;2,600;0;4;2;6;3;6;4;5;6;11;7;7;15;12;12;11;9;8;3;9;0;13;75;52;4,000;0,867;80;60;140;57,143;42,857;35,337;3,962;True
Palencia;34087;2022;50,500;33,900;92,400;7,600;2,600;0;3;3;5;4;6;10;3;12;11;8;10;12;15;11;15;6;9;4;4;3;12;90;52;4,333;0,711;85;69;154;55,195;44,805;35,337;4,358;True
Palencia;34087;2023;50,900;34,400;93,500;6,500;2,700;0;7;5;7;3;8;9;3;12;12;12;12;13;10;17;15;7;7;2;7;3;20;93;58;2,900;0,839;91;80;171;53,216;46,784;35,337;4,839;True
Palencia;34088;2021;43,900;34,600;94,900;5,100;2,300;0;13;19;11;15;15;17;17;27;32;37;35;22;21;27;19;16;4;6;1;4;46;235;77;1,674;0,523;195;163;358;54,469;45,531;16,342;21,907;True
Palencia;34088;2022;44,200;36,600;95,400;4,600;2,300;1;19;24;10;15;15;20;19;21;36;41;31;26;17;27;19;17;5;5;2;3;56;238;79;1,411;0,567;199;174;373;53,351;46,649;16,342;22,825;True
Palencia;34088;2023;44,900;35,100;94,200;5,800;2,300;1;19;27;15;14;13;14;19;25;38;35;40;30;19;28;24;19;4;4;2;3;64;244;85;1,328;0,611;218;175;393;55,471;44,529;16,342;24,048;True
Palencia;34089;2021;56,100;36,900;99,300;0,700;2,300;0;3;4;3;4;2;5;7;6;10;14;15;6;20;12;12;13;7;6;5;1;11;88;56;5,091;0,761;92;63;155;59,355;40,645;20,920;7,409;True
Palencia;34089;2022;57,900;38,500;100,000;0,000;2,200;0;2;3;3;3;4;5;6;3;10;14;11;10;12;19;12;13;8;6;5;0;9;77;63;7,000;0,935;85;64;149;57,047;42,953;20,920;7,122;True
Palencia;34089;2023;58,800;42,700;99,300;0,700;2,100;0;1;1;5;2;3;3;4;7;9;13;8;13;14;17;11;13;8;8;4;1;7;76;62;8,857;0,908;84;61;145;57,931;42,069;20,920;6,931;True
Palencia;34091;2021;58,300;43,900;99,200;0,800;2,300;0;0;3;5;3;4;4;4;7;4;10;12;10;5;5;8;13;13;11;7;0;9;62;57;6,333;1,065;74;54;128;57,812;42,188;43,520;2,941;True
Palencia;34091;2022;58,200;45,500;100,000;0,000;2,200;0;1;2;3;5;4;4;5;4;6;8;14;9;7;4;11;11;10;12;8;0;7;65;56;8,000;0,969;72;56;128;56,250;43,750;43,520;2,941;True
Palencia;34091;2023;58,800;47,200;99,200;0,800;2,200;0;2;1;4;5;3;4;4;2;5;8;15;8;9;4;10;6;11;11;9;0;8;62;51;6,375;0,952;66;55;121;54,545;45,455;43,520;2,780;True
Palencia;34092;2021;58,900;42,300;98,300;1,700;2,000;0;1;3;8;11;9;12;3;5;10;18;25;27;31;18;19;33;21;20;8;2;14;149;121;8,643;0,906;152;132;284;53,521;46,479;28,931;9,816;True
Palencia;34092;2022;60,000;45,800;98,200;1,800;2,000;0;1;2;9;11;9;10;7;5;9;15;26;26;31;23;19;32;19;20;12;2;14;147;127;9,071;0,959;153;135;288;53,125;46,875;28,931;9,955;True
Palencia;34092;2023;59,900;47,900;98,500;1,500;1,900;1;1;2;7;11;8;9;8;4;9;14;23;27;32;19;20;30;22;18;14;2;12;143;126;10,500;0,965;148;133;281;52,669;47,331;28,931;9,713;True
Palencia;34093;2021;56,200;30,000;93,100;6,900;2,200;1;1;3;1;7;1;3;4;3;2;5;10;7;10;6;2;4;5;10;4;1;6;51;33;5,500;0,765;53;37;90;58,889;41,111;20,070;4,484;True
Palencia;34093;2022;52,200;24,400;86,300;13,700;2,300;0;1;2;3;5;3;2;2;5;1;7;10;5;7;10;3;4;3;9;3;3;7;46;35;5,000;0,913;54;34;88;61,364;38,636;20,070;4,385;True
Palencia;34093;2023;54,000;32,600;89,300;10,700;2,200;0;2;2;4;6;3;6;2;6;2;5;9;9;6;9;5;3;4;5;5;2;9;53;33;3,667;0,792;58;37;95;61,053;38,947;20,070;4,733;True
Palencia;34094;2021;60,100;52,900;96,900;3,100;1,900;1;1;1;0;0;1;3;6;2;1;2;8;6;6;6;4;7;4;3;2;2;2;35;29;14,500;0,886;33;33;66;50,000;50,000;28,296;2,332;True
Palencia;34094;2022;58,800;55,900;95,300;4,700;1,900;2;1;1;0;0;1;3;6;1;2;2;7;6;5;4;8;4;4;4;1;2;2;33;29;14,500;0,939;31;33;64;48,438;51,562;28,296;2,262;True
Palencia;34094;2023;56,900;51,500;96,800;3,200;1,900;1;1;1;0;0;1;3;8;2;2;1;6;7;5;3;7;4;4;4;2;2;2;35;27;13,500;0,829;33;31;64;51,562;48,438;28,296;2,262;True
Palencia;34096;2021;62,800;50,000;100,000;0,000;1,800;1;0;1;0;1;0;0;1;0;3;5;4;2;4;6;5;7;2;2;1;0;1;20;24;24,000;1,250;29;16;45;64,444;35,556;17,068;2,637;True
Palencia;34096;2022;63,200;52,200;100,000;0,000;1,800;0;0;1;0;0;1;0;1;0;2;5;5;2;2;7;5;7;2;3;1;0;1;18;25;25,000;1,444;29;15;44;65,909;34,091;17,068;2,578;True
Palencia;34096;2023;61,600;62,500;100,000;0,000;1,700;0;0;1;0;0;1;0;1;0;0;5;4;5;2;5;3;8;2;3;1;0;1;18;22;22,000;1,278;27;14;41;65,854;34,146;17,068;2,402;True
Palencia;34098;2021;43,400;33,800;92,900;7,100;2,300;0;43;52;38;48;47;40;58;83;103;93;89;101;75;46;37;27;16;14;13;0;143;727;153;1,070;0,407;534;489;1023;52,199;47,801;27,832;36,756;True
Palencia;34098;2022;44,000;30,300;92,200;7,800;2,300;0;40;47;39;42;48;44;54;82;101;99;83;102;78;50;37;25;13;13;13;2;134;725;153;1,142;0,396;532;480;1012;52,569;47,431;27,832;36,361;True
Palencia;34098;2023;44,200;30,000;91,600;8,400;2,300;0;36;53;41;35;42;42;59;74;108;97;82;94;87;52;38;31;15;15;9;3;137;713;163;1,190;0,421;535;478;1013;52,813;47,187;27,832;36,397;True
Palencia;34099;2021;51,800;40,700;96,200;3,800;1,900;0;0;1;2;0;5;3;6;4;4;5;5;4;4;4;6;2;1;3;2;0;3;40;18;6,000;0,525;38;23;61;62,295;37,705;12,590;4,845;True
Palencia;34099;2022;50,800;30,800;94,300;5,700;2,000;0;0;0;1;1;1;3;5;4;6;4;3;4;5;4;5;3;0;2;1;0;1;36;15;15,000;0,444;35;17;52;67,308;32,692;12,590;4,130;True
Palencia;34099;2023;51,700;25,000;94,800;5,200;2,100;0;1;0;1;0;1;4;6;3;5;6;1;6;3;6;4;4;0;1;1;0;2;35;16;8,000;0,514;35;18;53;66,038;33,962;12,590;4,210;True
Palencia;34100;2021;52,700;33,900;100,000;0,000;2,300;0;4;4;1;3;5;5;4;11;6;7;9;17;26;14;8;6;4;4;2;0;10;92;38;3,800;0,522;79;61;140;56,429;43,571;25,522;5,485;True
Palencia;34100;2022;53,200;27,900;98,600;1,400;2,300;0;5;3;2;2;8;4;2;11;7;6;10;15;21;20;7;6;6;3;3;0;10;86;45;4,500;0,640;83;58;141;58,865;41,135;25,522;5,525;True
Palencia;34100;2023;54,000;29,000;98,600;1,400;2,400;0;3;5;2;1;5;8;3;7;10;6;8;14;25;21;9;5;6;2;2;1;10;87;46;4,600;0,644;83;60;143;58,042;41,958;25,522;5,603;True
Palencia;34101;2021;58,300;56,500;100,000;0,000;2,100;0;1;1;1;0;1;2;1;1;3;4;1;5;4;5;4;3;6;2;1;0;3;22;21;7,000;1,091;21;25;46;45,652;54,348;21,851;2,105;True
Palencia;34101;2022;59,200;52,400;100,000;0,000;2,300;0;1;1;0;1;1;2;1;3;3;3;1;4;4;6;4;2;8;1;2;0;2;23;23;11,500;1,087;22;26;48;45,833;54,167;21,851;2,197;True
Palencia;34101;2023;59,800;54,200;100,000;0,000;1,900;0;1;1;0;1;1;1;1;2;3;5;1;5;3;6;6;2;6;2;2;0;2;23;24;12,000;1,130;22;27;49;44,898;55,102;21,851;2,242;True
Palencia;34102;2021;51,500;29,800;99,500;0,500;2,500;0;10;2;4;6;6;11;16;15;10;15;23;12;19;10;20;14;12;5;6;1;17;132;68;4,000;0,644;129;88;217;59,447;40,553;25,238;8,598;True
Palencia;34102;2022;51,800;32,500;99,500;0,500;2,500;0;11;2;2;7;6;9;14;16;10;16;20;12;19;12;17;17;12;4;3;3;16;128;68;4,250;0,656;129;83;212;60,849;39,151;25,238;8,400;True
Palencia;34102;2023;51,600;35,700;99,500;0,500;2,400;1;11;3;1;8;4;8;11;17;13;12;23;10;18;15;16;15;11;7;3;1;17;122;69;4,059;0,705;125;83;208;60,096;39,904;25,238;8,242;True
Palencia;34103;2021;61,000;52,100;100,000;0,000;1,900;0;0;1;0;0;3;3;2;5;6;6;7;9;7;8;8;12;9;4;3;0;1;48;44;44,000;0,938;58;35;93;62,366;37,634;18,558;5,011;True
Palencia;34103;2022;60,900;57,100;100,000;0,000;1,800;0;0;0;1;0;2;1;5;3;8;5;6;10;8;4;10;13;8;4;1;1;1;48;41;41,000;0,875;57;33;90;63,333;36,667;18,558;4,850;True
Palencia;34103;2023;60,900;58,700;100,000;0,000;1,700;0;0;0;1;0;1;2;4;4;5;6;7;11;6;5;8;14;5;5;1;1;1;46;39;39,000;0,870;55;31;86;63,953;36,047;18,558;4,634;True
Palencia;34104;2021;57,200;45,000;98,800;1,200;2,000;0;4;2;5;6;11;13;14;7;8;13;20;20;26;28;20;21;14;14;5;4;12;137;106;8,833;0,861;148;107;255;58,039;41,961;26,565;9,599;True
Palencia;34104;2022;56,800;43,900;97,700;2,300;2,000;1;3;2;4;7;11;14;14;4;9;12;17;19;24;35;18;22;15;16;6;2;10;130;115;11,500;0,962;145;110;255;56,863;43,137;26,565;9,599;True
Palencia;34104;2023;57,300;45,100;97,100;2,900;2,000;1;4;4;5;4;14;15;10;7;7;13;18;18;24;39;19;20;17;16;5;3;14;129;120;8,571;1,039;154;109;263;58,555;41,445;26,565;9,900;True
Palencia;34106;2021;60,000;50,900;99,000;1,000;1,900;2;2;2;1;1;3;7;8;9;4;5;7;13;15;9;12;3;6;9;3;0;5;72;44;8,800;0,681;70;51;121;57,851;42,149;28,210;4,289;True
Palencia;34106;2022;61,200;49,100;99,000;1,000;1,800;2;0;0;0;0;2;7;8;5;4;3;7;8;17;8;11;5;5;6;6;0;0;61;43;inf;0,705;57;47;104;54,808;45,192;28,210;3,687;True
Palencia;34106;2023;59,600;49,100;96,000;4,000;1,800;2;0;0;0;0;2;6;5;5;4;4;4;7;16;10;11;4;4;4;8;0;0;53;43;inf;0,811;54;42;96;56,250;43,750;28,210;3,403;True
Palencia;34107;2021;62,700;35,300;100,000;0,000;2,100;0;0;0;0;0;3;2;3;0;3;4;4;11;7;9;6;5;4;3;7;0;0;37;34;inf;0,919;42;29;71;59,155;40,845;20,724;3,426;True
Palencia;34107;2022;63,800;35,300;100,000;0,000;2,100;0;0;0;0;0;3;3;2;1;3;3;5;8;10;8;7;6;4;2;7;0;0;38;34;inf;0,895;43;29;72;59,722;40,278;20,724;3,474;True
Palencia;34107;2023;64,300;33,300;100,000;0,000;2,100;0;0;0;0;0;3;3;1;1;2;3;5;7;11;8;9;6;2;1;9;0;0;36;35;inf;0,972;42;29;71;59,155;40,845;20,724;3,426;True
Palencia;34108;2021;47,700;37,900;95,800;4,200;2,400;0;33;17;22;17;25;31;39;38;35;45;47;45;49;38;28;22;23;20;16;4;75;368;151;2,013;0,614;315;279;594;53,030;46,970;45,890;12,944;True
Palencia;34108;2022;48,400;38,700;96,200;3,800;2,300;0;29;20;20;15;27;25;41;41;38;42;51;46;49;41;28;21;23;18;15;4;72;372;150;2,083;0,597;314;280;594;52,862;47,138;45,890;12,944;True
Palencia;34108;2023;48,500;37,100;95,000;5,000;2,300;0;19;23;21;14;21;27;39;37;40;42;45;49;51;40;34;27;18;15;15;2;66;362;151;2,288;0,599;311;268;579;53,713;46,287;45,890;12,617;True
Palencia;34109;2021;62,800;24,100;90,500;9,500;2,300;0;0;0;1;1;0;3;3;3;2;3;3;6;9;2;14;4;4;2;4;0;1;33;30;30,000;0,939;33;31;64;51,562;48,438;29,261;2,187;True
Palencia;34109;2022;61,400;24,100;90,900;9,100;2,300;0;1;0;0;0;1;3;2;4;1;2;5;5;6;8;11;6;3;5;4;0;1;29;37;37,000;1,310;38;29;67;56,716;43,284;29,261;2,290;True
Palencia;34109;2023;62,100;32,100;91,500;8,500;2,100;0;2;0;0;1;0;1;4;5;1;2;4;6;6;7;9;6;2;5;4;1;2;30;34;17,000;1,200;36;30;66;54,545;45,455;29,261;2,256;True
Palencia;34110;2021;55,000;59,600;100,000;0,000;1,700;0;2;1;1;1;2;6;3;7;1;1;3;17;12;6;4;1;4;1;5;2;4;53;23;5,750;0,509;45;35;80;56,250;43,750;6,803;11,760;True
Palencia;34110;2022;53,700;59,100;100,000;0,000;1,700;0;2;2;1;0;2;2;7;6;3;1;1;17;11;8;4;2;4;0;5;2;5;50;25;5,000;0,600;47;33;80;58,750;41,250;6,803;11,760;True
Palencia;34110;2023;53,200;54,400;97,500;2,500;1,700;0;2;2;1;0;0;4;5;8;3;1;1;14;10;10;4;3;3;1;3;0;5;46;24;4,800;0,630;45;30;75;60,000;40,000;6,803;11,025;True
Palencia;34112;2021;58,600;50,000;100,000;0,000;2,000;1;1;1;1;1;0;0;0;3;2;1;4;6;2;4;2;5;2;3;1;0;3;19;18;6,000;1,105;23;17;40;57,500;42,500;13,798;2,899;True
Palencia;34112;2022;55,400;47,600;100,000;0,000;2,200;1;1;2;1;1;0;0;0;1;4;0;5;5;3;3;2;6;2;2;2;0;4;19;18;4,500;1,158;24;17;41;58,537;41,463;13,798;2,971;True
Palencia;34112;2023;56,300;47,600;100,000;0,000;2,200;1;1;2;3;0;2;0;0;1;4;3;4;6;4;3;2;5;2;2;2;0;6;24;17;2,833;0,958;27;20;47;57,447;42,553;13,798;3,406;True
Palencia;34113;2021;54,900;43,800;100,000;0,000;2,300;0;0;0;0;0;1;3;4;2;0;0;5;6;7;2;1;1;3;3;2;1;0;28;13;inf;0,464;15;26;41;36,585;63,415;8,137;5,039;True
Palencia;34113;2022;55,300;41,200;100,000;0,000;2,100;0;1;0;0;0;1;2;4;3;0;0;4;7;6;2;1;1;1;3;1;0;1;27;9;9,000;0,370;14;23;37;37,838;62,162;8,137;4,547;True
Palencia;34113;2023;54,300;29,400;100,000;0,000;2,300;0;2;0;0;0;0;3;1;4;0;0;4;5;6;3;2;0;2;2;2;0;2;23;11;5,500;0,565;13;23;36;36,111;63,889;8,137;4,424;True
Palencia;34114;2021;60,500;41,600;95,400;4,600;2,200;0;0;0;2;1;6;2;3;8;12;9;13;19;19;19;22;17;14;11;3;3;2;92;89;44,500;0,989;114;69;183;62,295;37,705;103,553;1,767;True
Palencia;34114;2022;61,800;42,500;96,100;3,900;2,000;1;1;0;2;2;3;4;3;8;15;13;13;20;21;21;24;15;16;6;5;1;3;102;89;29,667;0,902;120;74;194;61,856;38,144;103,553;1,873;True
Palencia;34114;2023;62,000;43,000;95,900;4,100;2,000;1;0;0;1;3;2;3;3;6;11;12;14;17;23;15;26;15;14;8;3;1;2;93;83;41,500;0,914;113;65;178;63,483;36,517;103,553;1,719;True
Palencia;34116;2021;62,200;59,300;100,000;0,000;2,100;0;1;0;0;0;1;0;2;3;3;4;6;5;6;3;4;6;2;6;4;0;1;30;25;25,000;0,867;29;27;56;51,786;48,214;18,167;3,083;True
Palencia;34116;2022;60,500;59,300;100,000;0,000;2,200;0;1;0;0;1;1;0;0;5;2;4;4;7;5;4;5;5;2;4;5;1;1;29;26;26,000;0,931;30;26;56;53,571;46,429;18,167;3,083;True
Palencia;34116;2023;61,100;63,000;100,000;0,000;2,200;0;2;0;0;1;1;0;1;6;2;3;3;5;8;6;6;4;2;4;5;0;2;30;27;13,500;0,967;32;27;59;54,237;45,763;18,167;3,248;True
Palencia;34120;2021;49,625;34,663;93,347;6,653;2,218;31;2644;3334;3456;3489;3515;3483;3717;4627;5751;5751;5808;6157;6187;5308;4383;3559;2362;2122;1085;317;10135;47784;19167;1,891;0,613;36362;40724;77086;47,171;52,829;94,911;812,192;False
Palencia;34120;2022;49,593;35,546;92,029;7,971;2,206;35;2456;3223;3435;3566;3399;3399;3557;4355;5587;5699;5794;6034;6193;5494;4492;3639;2350;2110;1059;336;9823;46874;19515;1,987;0,626;35915;40297;76212;47,125;52,875;94,911;802,984;False
Palencia;34120;2023;49,655;36,000;91,125;8,875;2,180;41;2353;3216;3454;3623;3468;3440;3457;4278;5407;5802;5708;6065;6062;5691;4632;3741;2411;2000;1086;331;9749;46584;19933;2,045;0,637;35867;40399;76266;47,029;52,971;94,911;803,553;False
Palencia;34121;2021;52,600;36,500;86,800;13,200;2,200;0;3;3;2;5;10;8;10;18;8;19;15;17;25;16;13;19;15;3;6;0;9;134;72;8,000;0,604;124;91;215;57,674;42,326;75,681;2,841;True
Palencia;34121;2022;52,900;37,500;88,200;11,800;2,200;0;5;5;2;5;8;8;15;15;12;13;17;14;25;17;15;16;9;7;3;2;13;131;69;5,308;0,626;121;92;213;56,808;43,192;75,681;2,814;True
Palencia;34121;2023;52,200;39,800;84,800;15,200;2,200;0;7;5;2;5;7;9;11;14;15;8;20;15;19;19;18;14;11;9;2;2;15;122;75;5,000;0,738;121;91;212;57,075;42,925;75,681;2,801;True
Palencia;34122;2021;50,900;41,500;73,300;26,700;2,200;0;1;3;4;3;0;6;7;10;15;5;5;10;9;5;4;4;5;4;2;1;9;69;25;2,778;0,493;60;43;103;58,252;41,748;22,753;4,527;True
Palencia;34122;2022;52,600;40,500;85,900;14,100;2,200;0;2;2;4;3;2;4;8;7;15;10;5;10;10;5;6;3;4;2;3;0;9;73;23;2,556;0,438;63;42;105;60,000;40,000;22,753;4,615;True
Palencia;34122;2023;52,700;41,500;86,700;13,300;2,200;0;1;2;3;3;1;5;6;9;11;13;6;6;12;7;8;3;4;2;3;0;7;71;27;3,857;0,479;63;42;105;60,000;40,000;22,753;4,615;True
Palencia;34123;2021;49,180;34,258;96,010;3,990;2,397;3;44;49;74;69;100;100;96;99;121;121;158;164;155;116;100;96;76;80;38;15;181;1169;524;2,895;0,603;960;914;1874;51,227;48,773;128,944;14,533;True
Palencia;34123;2022;48,888;33,279;94,161;5,839;2,399;3;50;54;72;75;90;107;93;100;120;127;148;159;169;113;115;102;69;79;43;11;191;1173;535;2,801;0,619;974;925;1899;51,290;48,710;128,944;14,727;True
Palencia;34123;2023;48,528;32,318;92,219;7,781;2,399;2;51;63;74;76;94;89;104;99;122;127;149;149;182;112;109;89;74;80;39;10;203;1176;515;2,537;0,611;962;932;1894;50,792;49,208;128,944;14,689;True
Palencia;34124;2021;52,700;36,000;100,000;0,000;2,500;0;4;0;1;1;1;4;3;4;6;2;3;2;6;5;9;6;1;4;1;0;5;32;26;5,200;0,969;39;24;63;61,905;38,095;19,270;3,269;True
Palencia;34124;2022;52,200;45,800;100,000;0,000;2,500;0;3;1;1;1;1;4;3;6;6;2;3;2;5;5;8;6;1;4;0;1;5;33;25;5,000;0,909;39;24;63;61,905;38,095;19,270;3,269;True
Palencia;34124;2023;51,600;36,400;98,300;1,700;2,600;0;2;2;0;2;1;2;4;6;5;4;1;4;4;5;6;5;3;2;0;1;4;33;22;5,500;0,788;37;22;59;62,712;37,288;19,270;3,062;True
Palencia;34125;2021;59,600;50,000;98,700;1,300;1,900;0;0;0;1;1;1;3;4;4;3;4;6;7;5;10;7;7;3;4;4;1;1;38;36;36,000;0,974;39;36;75;52,000;48,000;32,372;2,317;True
