Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;05158;2023;56,300;51,900;91,300;8,700;1,900
Avila;05159;2021;65,600;53,500;100,000;0,000;1,800
Avila;05159;2022;65,800;53,200;99,500;0,500;1,800
Avila;05159;2023;65,400;50,500;100,000;0,000;1,800
Avila;05160;2021;58,100;49,400;99,100;0,900;1,900
Avila;05160;2022;56,900;47,100;98,800;1,200;1,900
Avila;05160;2023;56,700;49,100;98,100;1,900;1,900
Avila;05161;2021;48,500;44,400;76,400;23,600;2,100
Avila;05161;2022;47,600;43,700;72,400;27,600;2,200
Avila;05161;2023;47,900;43,100;70,700;29,300;2,200
Avila;05162;2021;54,100;69,800;100,000;0,000;1,500
Avila;05162;2022;53,500;70,900;100,000;0,000;1,500
Avila;05162;2023;55,400;70,600;100,000;0,000;1,500
Avila;05163;2021;52,793;50,686;94,497;5,503;1,900
Avila;05163;2022;52,893;51,783;93,095;6,905;1,900
Avila;05163;2023;52,694;50,186;93,493;6,507;1,900
Avila;05164;2021;57,400;41,700;95,800;4,200;2,000
Avila;05164;2022;62,500;47,600;97,400;2,600;1,900
Avila;05164;2023;62,900;42,900;97,700;2,300;2,000
Avila;05165;2021;49,700;46,600;96,000;4,000;1,900
Avila;05165;2022;49,600;46,600;91,800;8,200;1,900
Avila;05165;2023;49,800;45,700;93,400;6,600;1,900
Avila;05166;2021;56,500;51,200;93,600;6,400;1,800
Avila;05166;2022;53,800;49,500;84,700;15,300;1,900
Avila;05166;2023;56,000;55,400;88,800;11,200;1,900
Avila;05167;2021;52,300;57,700;93,800;6,200;1,700
Avila;05167;2022;50,800;56,700;89,300;10,700;1,800
Avila;05167;2023;51,700;60,600;88,400;11,600;1,800
Avila;05168;2021;45,279;38,273;84,699;15,301;2,301
Avila;05168;2022;44,485;35,186;82,006;17,994;2,301
Avila;05168;2023;43,492;35,288;79,806;20,194;2,400
Avila;05169;2021;58,800;50,000;97,900;2,100;1,900
