Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05176;0517601001;2023;2,2;26,3
Avila;05177;0517701001;2021;2,6;28,6
Avila;05177;0517701001;2022;2,5;31,8
Avila;05177;0517701001;2023;2,8;33,3
Avila;05178;0517801001;2021;2,3;25,7
Avila;05178;0517801001;2022;2,3;27
Avila;05178;0517801001;2023;2,3;27,2
Avila;05179;0517901001;2021;2,5;31,7
Avila;05179;0517901001;2022;2,4;31,2
Avila;05179;0517901001;2023;2,3;30,3
Avila;05182;0518201001;2021;2,2;29,4
Avila;05182;0518201001;2022;2,4;29,9
Avila;05182;0518201001;2023;2,3;29,2
Avila;05183;0518301001;2021;2,7;28,5
Avila;05183;0518301001;2022;3,7;35,9
Avila;05183;0518301001;2023;2,6;31,5
Avila;05184;0518401001;2021;2,6;34,6
Avila;05184;0518401001;2022;2,9;35
Avila;05184;0518401001;2023;2,8;35,5
Avila;05185;0518501001;2021;2,2;25,4
Avila;05185;0518501001;2022;2,2;25,9
Avila;05185;0518501001;2023;1,8;24,8
Avila;05186;0518601001;2021;2,3;29,3
Avila;05186;0518601001;2022;2,4;29,6
Avila;05186;0518601001;2023;2,5;29,9
Avila;05187;0518701001;2021;2,2;30,4
Avila;05187;0518701001;2022;2,4;30,8
Avila;05187;0518701001;2023;2,6;31,2
Avila;05187;0518702001;2021;3;33,3
Avila;05187;0518702001;2022;2,5;32
Avila;05187;0518702001;2023;2,9;31,9
Avila;05189;0518901001;2021;2,1;27,8
Avila;05189;0518901001;2022;2,2;28,4
Avila;05189;0518901001;2023;1,9;25,2
Avila;05191;0519101001;2021;2,6;32,5
Avila;05191;0519101001;2022;2,2;27,4
Avila;05191;0519101001;2023;2,8;30,9
Avila;05192;0519201001;2021;3,2;37,7
Avila;05192;0519201001;2022;2,9;34,4
Avila;05193;0519301001;2021;2,1;28,3
Avila;05193;0519301001;2022;1,9;27,4
Avila;05193;0519301001;2023;2,4;28,6
Avila;05194;0519401001;2021;2,7;31,1
Avila;05194;0519401001;2022;2,8;34,2
Avila;05194;0519401001;2023;3;33
Avila;05195;0519501001;2021;2,2;25,1
Avila;05195;0519501001;2022;2,3;26
Avila;05195;0519501001;2023;2,4;25,1
Avila;05197;0519701001;2021;2,3;22,8
Avila;05197;0519701001;2022;2,6;28,5
Avila;05197;0519701001;2023;2,1;28
Avila;05201;0520101001;2021;2,5;29
Avila;05201;0520101001;2022;2,3;30,2
Avila;05201;0520101001;2023;2,2;29,6
Avila;05204;0520401001;2021;2,1;24,6
Avila;05204;0520401001;2022;2,2;25,5
Avila;05204;0520401001;2023;2,2;25,8
Avila;05207;0520701001;2021;3;33,3
Avila;05207;0520701001;2022;2,4;30,7
Avila;05207;0520701001;2023;2,7;31,9
Avila;05211;0521101001;2021;2,3;26,1
Avila;05211;0521101001;2022;2,4;26,6
Avila;05211;0521101001;2023;2,4;25,9
Avila;05212;0521201001;2021;2,3;32,9
Avila;05212;0521201001;2022;2,8;32,4
Avila;05212;0521201001;2023;2,5;29,5
Avila;05215;0521501001;2021;2,3;29,3
Avila;05215;0521501001;2022;2,4;27
Avila;05215;0521501001;2023;2,5;29,4
Avila;05216;0521601001;2021;2,6;29,5
Avila;05216;0521601001;2022;2,4;27,9
Avila;05216;0521601001;2023;2,5;29,5
Avila;05218;0521801001;2021;2,3;24,6
Avila;05218;0521801001;2022;2,3;25,1
Avila;05218;0521801001;2023;2,2;24
Avila;05220;0522001001;2021;2,4;35,9
Avila;05220;0522001001;2022;2,2;28,4
Avila;05220;0522001001;2023;2,6;33,3
Avila;05221;0522101001;2021;2,2;26,8
Avila;05221;0522101001;2022;2,1;24,4
Avila;05221;0522101001;2023;2,1;23,7
Avila;05222;0522201001;2021;2,1;26,4
Avila;05222;0522201001;2022;2,1;27,9
Avila;05222;0522201001;2023;2,1;27,3
Avila;05224;0522401001;2021;3,4;34,5
Avila;05224;0522401001;2022;2,5;31,6
Avila;05224;0522401001;2023;2,7;31,9
Avila;05225;0522501001;2021;2,8;33,4
Avila;05225;0522501001;2022;2,2;32,3
Avila;05225;0522501001;2023;2,6;33,7
Avila;05227;0522701001;2021;2,7;32,6
Avila;05227;0522701001;2022;2,9;33
Avila;05227;0522701001;2023;2,8;33,2
Avila;05228;0522801001;2021;2,4;27,1
Avila;05228;0522801001;2022;2,5;27,2
Avila;05228;0522801001;2023;2,2;25,6
Avila;05231;0523101001;2021;2;25,3
Avila;05231;0523101001;2022;2;26,3
