Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05231;0523101001;2023;2;25,5
Avila;05232;0523201001;2021;2,3;24,3
Avila;05232;0523201001;2022;2,4;25,9
Avila;05232;0523201001;2023;2,5;25,6
Avila;05233;0523301001;2021;2,5;33,4
Avila;05233;0523301001;2022;2,3;26,3
Avila;05233;0523301001;2023;2,2;26,9
Avila;05235;0523501001;2021;2,6;25,9
Avila;05235;0523501001;2022;2,2;24,2
Avila;05235;0523501001;2023;2,5;24
Avila;05236;0523601001;2021;3;34,2
Avila;05236;0523601001;2022;2,4;36,2
Avila;05236;0523601001;2023;3,2;33,4
Avila;05237;0523701001;2021;2,4;25,9
Avila;05237;0523701001;2022;2,5;25,1
Avila;05237;0523701001;2023;2,3;27,9
Avila;05238;0523801001;2021;2,3;26,5
Avila;05238;0523801001;2022;2,2;26,4
Avila;05238;0523801001;2023;2,4;26,7
Avila;05239;0523901001;2021;2,2;28
Avila;05239;0523901001;2022;2,1;26,4
Avila;05239;0523901001;2023;2,3;26,8
Avila;05240;0524001001;2021;2,7;33
Avila;05240;0524001001;2022;2,8;33,2
Avila;05240;0524001001;2023;2,8;33,2
Avila;05240;0524002001;2021;2,9;32,5
Avila;05240;0524002001;2022;2,7;31,1
Avila;05240;0524002001;2023;2,8;30,4
Avila;05241;0524101001;2021;2,9;32,8
Avila;05241;0524101001;2022;2,7;31,5
Avila;05241;0524101001;2023;2,6;30,1
Avila;05241;0524101002;2021;2,6;30,9
Avila;05241;0524101002;2022;2,7;31,1
Avila;05241;0524101002;2023;2,7;31,2
Avila;05242;0524201001;2021;2;23,5
Avila;05242;0524201001;2022;2;23
Avila;05242;0524201001;2023;1,9;23,2
Avila;05245;0524501001;2021;2,1;24,9
Avila;05245;0524501001;2022;2;25,5
Avila;05245;0524501001;2023;2,3;24,8
Avila;05247;0524701001;2021;2,2;26,9
Avila;05247;0524701001;2022;1,9;25,8
Avila;05247;0524701001;2023;2,2;25,5
Avila;05249;0524901001;2022;2,7;32,9
Avila;05249;0524901001;2023;2,6;31,4
Avila;05254;0525401001;2021;2,4;28,9
Avila;05254;0525401001;2022;2,3;30,5
Avila;05254;0525401001;2023;2,4;33,5
Avila;05256;0525601001;2021;2,2;24,1
Avila;05256;0525601001;2022;2,9;26,9
Avila;05257;0525701001;2021;2,8;37
Avila;05257;0525701001;2022;2,9;44,2
Avila;05257;0525701001;2023;3,1;40,8
Avila;05258;0525801001;2021;2,3;27,1
Avila;05258;0525801001;2022;1,8;23,4
Avila;05258;0525801001;2023;2,4;23,6
Avila;05259;0525901001;2021;2,3;27,7
Avila;05260;0526001001;2021;3,5;30,9
Avila;05260;0526001001;2022;3,3;34,4
Avila;05260;0526001001;2023;3,1;33,8
Avila;05262;0526201001;2021;2,5;29
Avila;05262;0526201001;2022;2,2;27,8
Avila;05262;0526201001;2023;2,1;24,9
