Provincia;CMuni;CUSEC;Periodo;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_hogar;Renta_bruta_media_por_persona;Renta_neta_media_por_hogar;Renta_neta_media_por_persona
Avila;05088;0508801001;2022;;;28445;15360;24792;13387
Avila;05088;0508801001;2023;;;30618;16653;26544;14437
Avila;05089;0508901001;2021;16441;14350;26794;13696;23556;12041
Avila;05089;0508901001;2022;17883;15050;29310;15173;25559;13231
Avila;05089;0508901001;2023;18910;17150;31540;16540;27265;14298
Avila;05090;0509001001;2021;;;26888;14274;23577;12516
Avila;05090;0509001001;2022;;;33547;16581;28680;14175
Avila;05090;0509001001;2023;;;35976;18005;30364;15197
Avila;05092;0509201001;2021;17394;15750;31258;13778;27409;12082
Avila;05092;0509201001;2022;17927;15750;32211;14340;27813;12383
Avila;05092;0509201001;2023;17977;17150;32232;14859;27943;12882
Avila;05093;0509301001;2021;13636;11550;22619;11564;19667;10054
Avila;05093;0509301001;2022;14445;12950;23400;12079;20554;10610
Avila;05093;0509301001;2023;15916;14350;26501;14005;23233;12278
Avila;05094;0509401001;2021;16944;15050;27362;14276;24248;12651
Avila;05094;0509401001;2022;18477;17150;30047;15435;26190;13454
Avila;05094;0509401001;2023;18885;16100;32958;16711;27745;14068
Avila;05095;0509501001;2021;14700;13650;24338;12307;21274;10758
Avila;05095;0509501001;2022;15832;13650;25465;12925;21715;11022
Avila;05095;0509501001;2023;16131;12950;26014;13519;22278;11577
Avila;05096;0509601001;2021;;;26888;14274;23577;12516
Avila;05096;0509601001;2022;;;28445;15360;24792;13387
Avila;05096;0509601001;2023;;;30618;16653;26544;14437
Avila;05097;0509701001;2021;14286;12250;22695;10971;20809;10059
Avila;05097;0509701001;2022;15701;13650;25154;12495;22913;11382
Avila;05097;0509701001;2023;16994;15750;27201;13601;24744;12372
Avila;05099;0509901001;2021;16552;14350;28384;13156;25045;11609
Avila;05099;0509901001;2022;17003;14700;29235;13841;25372;12013
Avila;05099;0509901001;2023;17967;16450;30546;14634;26582;12735
Avila;05100;0510001001;2021;16858;15050;28471;14399;25066;12677
Avila;05100;0510001001;2022;18832;17150;31982;16241;27596;14014
Avila;05100;0510001001;2023;19859;18550;34323;17097;29496;14693
Avila;05101;0510101001;2021;18316;17150;30227;16354;25825;13973
Avila;05101;0510101001;2022;20425;17150;33240;18242;28305;15533
