Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05014;0501402002;2023;4,4;9,8;27,6;1,8;56,3
Avila;05014;0501403001;2021;5,7;11,8;27;3,3;52,2
Avila;05014;0501403001;2022;4,8;15,3;27,1;1,9;50,9
Avila;05014;0501403001;2023;4,6;16;27,6;1,7;50,1
Avila;05016;0501601001;2021;6,4;12,8;26,7;3,2;50,9
Avila;05016;0501601001;2022;6,5;14,3;27,3;2,5;49,4
Avila;05016;0501601001;2023;7;13,5;26,5;2,1;50,8
Avila;05016;0501602001;2021;5,5;14,7;21;4;54,9
Avila;05016;0501602001;2022;5,3;13,5;21,7;2,3;57,2
Avila;05016;0501602001;2023;5,9;13,5;19,9;2;58,7
Avila;05016;0501602002;2021;2,8;9,7;27,4;2,8;57,4
Avila;05016;0501602002;2022;3,1;11,2;26,2;1,7;57,7
Avila;05016;0501602002;2023;3,6;10,5;27,5;1,6;56,9
Avila;05016;0501602003;2021;4,5;11;21;3,6;59,9
Avila;05016;0501602003;2022;5;13,8;21,8;2,2;57,3
Avila;05016;0501602003;2023;5,1;13,1;23,4;2,2;56,2
Avila;05016;0501602004;2021;4;11,1;19,7;2,6;62,7
Avila;05016;0501602004;2022;4,6;10,6;20,3;1,7;62,8
Avila;05016;0501602004;2023;4,3;9,8;20,5;1,7;63,8
Avila;05016;0501602005;2021;4,4;13,4;18,7;2,8;60,7
Avila;05016;0501602005;2022;4,7;13,9;18,9;1,9;60,7
Avila;05016;0501602005;2023;4,2;13,9;19;1,6;61,2
Avila;05019;0501901001;2021;3,9;14,2;24,2;3,4;54,3
Avila;05019;0501901001;2022;3,8;14,8;25,7;1,5;54,3
Avila;05019;0501901001;2023;3,8;14,4;25,9;1,3;54,6
Avila;05019;0501901002;2021;3,8;8,7;27,5;2;58,1
Avila;05019;0501901002;2022;4,2;9,8;27,4;1,3;57,4
Avila;05019;0501901002;2023;4,6;9,9;28,2;1,3;56,1
